city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-05 23:59:24,115,45,66.28,25.3,115
Bogor,2025-12-05 23:00:00,1,12,,,12
Tangerang,2025-12-05 23:00:00,59,42,,,59
Bekasi,2025-12-05 23:00:00,46,26,,,46
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:00:24,120,48,66.28,25.3,120
Bogor,2025-12-05 23:00:00,1,12,,,12
Tangerang,2025-12-05 23:00:00,59,42,,,59
Bekasi,2025-12-05 23:00:00,46,26,,,46
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:01:24,120,48,66.32,25.3,120
Bogor,2025-12-05 23:00:00,1,12,,,12
Tangerang,2025-12-05 23:00:00,59,42,,,59
Bekasi,2025-12-05 23:00:00,46,26,,,46
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:02:24,121,49,66.23,25.3,121
Bogor,2025-12-05 23:00:00,1,12,,,12
Tangerang,2025-12-05 23:00:00,59,42,,,59
Bekasi,2025-12-05 23:00:00,46,26,,,46
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:03:24,118,49,66.19,25.3,118
Bogor,2025-12-05 23:00:00,1,12,,,12
Tangerang,2025-12-05 23:00:00,59,42,,,59
Bekasi,2025-12-05 23:00:00,46,26,,,46
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:04:24,120,50,66.22,25.3,120
Bogor,2025-12-05 23:00:00,1,12,,,12
Tangerang,2025-12-05 23:00:00,59,42,,,59
Bekasi,2025-12-05 23:00:00,46,26,,,46
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:05:24,121,48,66.26,25.3,121
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:07:24,121,50,66.15,25.27,121
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:09:24,120,48,66.18,25.28,120
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:10:24,121,50,66.19,25.28,121
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:11:24,120,47,66.26,25.3,120
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:12:24,120,49,66.43,25.27,120
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:13:24,122,50,66.51,25.22,122
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:14:24,120,48,66.6,25.2,120
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:15:24,120,48,66.5,25.22,120
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:17:24,125,51,66.48,25.2,125
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:18:24,128,53,66.51,25.2,128
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:19:24,122,50,66.65,25.22,122
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:20:24,127,50,66.6,25.2,127
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:21:24,128,52,66.68,25.2,128
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:23:24,126,51,66.57,25.2,126
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:23:24,126,51,66.57,25.2,126
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:25:24,123,50,66.6,25.2,123
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:26:24,123,51,66.62,25.2,123
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:28:24,123,50,66.69,25.2,123
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:28:24,123,50,66.69,25.2,123
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:30:24,125,50,66.6,25.2,125
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:31:24,123,50,66.65,25.2,123
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:32:24,123,50,66.8,25.2,123
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:34:24,126,50,66.75,25.2,126
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:35:24,125,50,66.76,25.13,125
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:36:24,125,51,66.82,25.15,125
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:37:24,124,51,66.83,25.17,124
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:38:24,125,52,66.83,25.1,125
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:40:24,125,51,66.76,25.15,125
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:40:24,125,51,66.76,25.15,125
Bogor,2025-12-06 00:00:00,1,11,,,11
Tangerang,2025-12-06 00:00:00,59,42,,,59
Bekasi,2025-12-06 00:00:00,48,27,,,48
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-06 00:42:24,126,51,66.76,25.18,126
