city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-11-21 23:57:51,93,32,51.11,28.92,93
Depok,2025-11-21 23:57:47,130,54,56.52,28.2,130
Bogor,2025-11-21 23:00:00,1,10,,,56
Tangerang,2025-11-21 23:00:00,29,23,,,29
Bekasi,2025-11-21 23:00:00,1,13,,,13
Jakarta,2025-11-21 23:59:51,90,30,50.91,28.95,90
Depok,2025-11-21 23:59:48,135,54,56.7,28.2,135
Bogor,2025-11-21 23:00:00,1,10,,,56
Tangerang,2025-11-21 23:00:00,29,23,,,29
Bekasi,2025-11-21 23:00:00,1,13,,,13
Jakarta,2025-11-22 00:00:51,98,35,50.91,28.93,98
Depok,2025-11-22 00:00:48,139,54,56.75,28.22,139
Bogor,2025-11-21 23:00:00,1,10,,,56
Tangerang,2025-11-21 23:00:00,29,23,,,29
Bekasi,2025-11-21 23:00:00,1,13,,,13
Jakarta,2025-11-22 00:01:51,95,35,50.99,28.9,95
Depok,2025-11-22 00:01:48,135,54,56.52,28.22,135
Bogor,2025-11-22 00:00:00,1,10,,,56
Tangerang,2025-11-22 00:00:00,30,24,,,30
Bekasi,2025-11-22 00:00:00,1,13,,,13
Jakarta,2025-11-22 00:02:51,97,35,51.11,28.9,97
Depok,2025-11-22 00:02:47,130,53,56.37,28.23,130
Bogor,2025-11-22 00:00:00,1,10,,,56
Tangerang,2025-11-22 00:00:00,30,24,,,30
Bekasi,2025-11-22 00:00:00,1,13,,,13
Jakarta,2025-11-22 00:03:51,94,32,51.07,28.9,94
Depok,2025-11-22 00:03:47,133,53,56.23,28.25,133
Bogor,2025-11-22 00:00:00,1,10,,,56
Tangerang,2025-11-22 00:00:00,30,24,,,30
Bekasi,2025-11-22 00:00:00,1,13,,,13
Jakarta,2025-11-22 00:05:51,97,35,51.04,28.9,97
Depok,2025-11-22 00:05:47,129,53,56.22,28.25,129
Bogor,2025-11-22 00:00:00,1,10,,,56
Tangerang,2025-11-22 00:00:00,30,24,,,30
Bekasi,2025-11-22 00:00:00,1,13,,,13
Jakarta,2025-11-22 00:05:51,97,35,51.04,28.9,97
Depok,2025-11-22 00:05:47,129,53,56.22,28.25,129
Bogor,2025-11-22 00:00:00,1,10,,,56
Tangerang,2025-11-22 00:00:00,30,24,,,30
Bekasi,2025-11-22 00:00:00,1,13,,,13
Jakarta,2025-11-22 00:07:52,94,32,50.91,28.82,94
Depok,2025-11-22 00:07:48,128,52,56.6,28.3,128
Bogor,2025-11-22 00:00:00,1,10,,,56
Tangerang,2025-11-22 00:00:00,30,24,,,30
