city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-02 23:58:52,160,63,60,27.6,160
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-02 23:00:00,77,58,,,77
Bekasi,2025-12-02 23:00:00,97,45,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-02 23:59:52,159,62,59.82,27.57,159
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-02 23:00:00,77,58,,,77
Bekasi,2025-12-02 23:00:00,97,45,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-03 00:00:52,161,62,59.9,27.5,161
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-02 23:00:00,77,58,,,77
Bekasi,2025-12-02 23:00:00,97,45,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-03 00:02:52,158,61,59.9,27.5,158
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 00:00:00,78,59,,,78
Bekasi,2025-12-03 00:00:00,109,47,,,109
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-03 00:04:52,158,61,60.03,27.53,158
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 00:00:00,78,59,,,78
Bekasi,2025-12-03 00:00:00,109,47,,,109
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-03 00:04:52,158,61,60.03,27.53,158
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 00:00:00,78,59,,,78
Bekasi,2025-12-03 00:00:00,109,47,,,109
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-03 00:05:52,159,62,60.03,27.57,159
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 00:00:00,78,59,,,78
Bekasi,2025-12-03 00:00:00,109,47,,,109
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-03 00:07:52,159,61,59.77,27.53,159
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 00:00:00,78,59,,,78
Bekasi,2025-12-03 00:00:00,109,47,,,109
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-03 00:07:52,159,61,59.77,27.53,159
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 00:00:00,78,59,,,78
Bekasi,2025-12-03 00:00:00,109,47,,,109
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-03 00:09:52,157,61,59.45,27.52,157
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 00:00:00,78,59,,,78
Bekasi,2025-12-03 00:00:00,109,47,,,109
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-03 00:09:52,157,61,59.45,27.52,157
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 00:00:00,78,59,,,78
Bekasi,2025-12-03 00:00:00,109,47,,,109
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-03 00:12:04,159,61,59.62,27.57,159
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 00:00:00,78,59,,,78
Bekasi,2025-12-03 00:00:00,109,47,,,109
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-03 00:13:52,157,60,59.48,27.57,157
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 00:00:00,78,59,,,78
Bekasi,2025-12-03 00:00:00,109,47,,,109
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-03 00:14:52,159,62,59.55,27.5,159
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 00:00:00,78,59,,,78
Bekasi,2025-12-03 00:00:00,109,47,,,109
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-03 00:15:52,156,60,59.63,27.5,156
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 00:00:00,78,59,,,78
Bekasi,2025-12-03 00:00:00,109,47,,,109
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-03 00:16:52,157,60,59.73,27.5,157
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 00:00:00,78,59,,,78
Bekasi,2025-12-03 00:00:00,109,47,,,109
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-03 00:17:56,156,61,59.73,27.5,156
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 00:00:00,78,59,,,78
Bekasi,2025-12-03 00:00:00,109,47,,,109
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-03 00:18:52,156,60,59.8,27.5,156
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 00:00:00,78,59,,,78
Bekasi,2025-12-03 00:00:00,109,47,,,109
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-03 00:19:52,157,61,59.92,27.5,157
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 00:00:00,78,59,,,78
Bekasi,2025-12-03 00:00:00,109,47,,,109
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-03 00:20:52,157,60,60.05,27.5,157
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 00:00:00,78,59,,,78
Bekasi,2025-12-03 00:00:00,109,47,,,109
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-03 00:22:52,157,61,60.03,27.5,157
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 00:00:00,78,59,,,78
Bekasi,2025-12-03 00:00:00,109,47,,,109
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-03 00:24:52,156,61,60.07,27.5,156
Bogor,2025-11-30 17:00:00,15,19,,,-
