city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-11-09 23:55:25,20,5,49.88,28.3,20
Depok,2025-11-09 23:55:01,113,46,51.9,28.5,113
Bogor,2025-11-09 23:00:00,4,7,,,55
Tangerang,2025-11-09 23:00:00,25,19,,,25
Bekasi,2025-11-09 23:00:00,3,10,,,10
Jakarta,2025-11-09 23:59:26,21,5,49.8,28.4,21
Depok,2025-11-09 23:59:01,113,45,51.97,28.5,113
Bogor,2025-11-09 23:00:00,4,7,,,55
Tangerang,2025-11-09 23:00:00,25,19,,,25
Bekasi,2025-11-09 23:00:00,3,10,,,10
Jakarta,2025-11-10 00:01:26,27,6,49.73,28.4,27
Depok,2025-11-10 00:01:01,121,50,51.88,28.5,121
Bogor,2025-11-09 23:00:00,4,7,,,55
Tangerang,2025-11-09 23:00:00,25,19,,,25
Bekasi,2025-11-09 23:00:00,3,10,,,10
Jakarta,2025-11-10 00:01:26,27,6,49.73,28.4,27
Depok,2025-11-10 00:03:01,119,48,52.18,28.58,119
Bogor,2025-11-09 23:00:00,4,7,,,55
Tangerang,2025-11-09 23:00:00,25,19,,,25
Bekasi,2025-11-09 23:00:00,3,10,,,10
Jakarta,2025-11-10 00:03:26,35,8,49.88,28.32,35
Depok,2025-11-10 00:03:01,119,48,52.18,28.58,119
Bogor,2025-11-09 23:00:00,4,7,,,55
Tangerang,2025-11-09 23:00:00,25,19,,,25
Bekasi,2025-11-09 23:00:00,3,10,,,10
Jakarta,2025-11-10 00:05:26,36,8,50.1,28.2,36
Depok,2025-11-10 00:05:01,125,52,52.05,28.6,125
Bogor,2025-11-09 23:00:00,4,7,,,55
Tangerang,2025-11-09 23:00:00,25,19,,,25
Bekasi,2025-11-09 23:00:00,3,10,,,10
Jakarta,2025-11-10 00:06:26,28,6,50.15,28.2,28
Depok,2025-11-10 00:06:01,131,53,52,28.58,131
Bogor,2025-11-09 23:00:00,4,7,,,55
Tangerang,2025-11-09 23:00:00,25,19,,,25
Bekasi,2025-11-09 23:00:00,3,10,,,10
Jakarta,2025-11-10 00:07:26,24,6,50.25,28.2,24
Depok,2025-11-10 00:07:01,132,54,51.93,28.57,132
Bogor,2025-11-09 23:00:00,4,7,,,55
Tangerang,2025-11-09 23:00:00,25,19,,,25
Bekasi,2025-11-09 23:00:00,3,10,,,10
Jakarta,2025-11-10 00:08:26,31,7,50.35,28.2,31
Depok,2025-11-10 00:08:01,130,53,52.05,28.6,130
Bogor,2025-11-09 23:00:00,4,7,,,55
Tangerang,2025-11-09 23:00:00,25,19,,,25
Bekasi,2025-11-09 23:00:00,3,10,,,10
Jakarta,2025-11-10 00:09:26,27,6,50.3,28.2,27
Depok,2025-11-10 00:09:01,136,55,52.05,28.6,136
Bogor,2025-11-10 00:00:00,8,7,,,55
Tangerang,2025-11-10 00:00:00,25,19,,,25
Bekasi,2025-11-10 00:00:00,3,9,,,9
Jakarta,2025-11-10 00:10:26,26,6,50.22,28.22,26
Depok,2025-11-10 00:11:01,142,56,52.03,28.6,142
Bogor,2025-11-10 00:00:00,8,7,,,55
Tangerang,2025-11-10 00:00:00,25,19,,,25
Bekasi,2025-11-10 00:00:00,3,9,,,9
