city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-11-18 23:59:00,172,73,63.2,26.95,172
Depok,2025-11-18 23:59:03,152,58,62.87,26.6,152
Bogor,2025-11-18 23:00:00,2,13,,,55
Tangerang,2025-11-18 23:00:00,52,41,,,52
Bekasi,2025-11-18 23:00:00,52,27,,,52
Jakarta,2025-11-19 00:00:00,174,74,63.25,26.92,174
Depok,2025-11-19 00:00:03,152,58,62.93,26.6,152
Bogor,2025-11-18 23:00:00,2,13,,,55
Tangerang,2025-11-18 23:00:00,52,41,,,52
Bekasi,2025-11-18 23:00:00,52,27,,,52
Jakarta,2025-11-19 00:01:04,168,68,63.3,26.9,168
Depok,2025-11-19 00:01:03,152,58,62.98,26.6,152
Bogor,2025-11-18 23:00:00,2,13,,,55
Tangerang,2025-11-18 23:00:00,52,41,,,52
Bekasi,2025-11-18 23:00:00,52,27,,,52
Jakarta,2025-11-19 00:02:02,173,73,63.4,26.9,173
Depok,2025-11-19 00:01:03,152,58,62.98,26.6,152
Bogor,2025-11-18 23:00:00,2,13,,,55
Tangerang,2025-11-18 23:00:00,52,41,,,52
Bekasi,2025-11-18 23:00:00,52,27,,,52
Jakarta,2025-11-19 00:02:59,171,71,63.4,26.9,171
Depok,2025-11-19 00:03:03,152,58,62.93,26.58,152
Bogor,2025-11-18 23:00:00,2,13,,,55
Tangerang,2025-11-18 23:00:00,52,41,,,52
Bekasi,2025-11-18 23:00:00,52,27,,,52
Jakarta,2025-11-19 00:05:00,173,73,63.35,26.9,173
Depok,2025-11-19 00:05:03,153,59,62.97,26.55,153
Bogor,2025-11-19 00:00:00,3,13,,,55
Tangerang,2025-11-19 00:00:00,52,41,,,52
Bekasi,2025-11-19 00:00:00,52,27,,,52
Jakarta,2025-11-19 00:06:00,172,72,63.3,26.9,172
Depok,2025-11-19 00:06:03,152,58,62.93,26.55,152
Bogor,2025-11-19 00:00:00,3,13,,,55
Tangerang,2025-11-19 00:00:00,52,41,,,52
Bekasi,2025-11-19 00:00:00,52,27,,,52
Jakarta,2025-11-19 00:08:00,171,71,63.27,26.9,171
Depok,2025-11-19 00:08:03,153,58,63.05,26.5,153
Bogor,2025-11-19 00:00:00,3,13,,,55
Tangerang,2025-11-19 00:00:00,52,41,,,52
Bekasi,2025-11-19 00:00:00,52,27,,,52
Jakarta,2025-11-19 00:08:00,171,71,63.27,26.9,171
Depok,2025-11-19 00:08:03,153,58,63.05,26.5,153
Bogor,2025-11-19 00:00:00,3,13,,,55
Tangerang,2025-11-19 00:00:00,52,41,,,52
Bekasi,2025-11-19 00:00:00,52,27,,,52
Jakarta,2025-11-19 00:10:00,172,72,63.39,26.9,172
Depok,2025-11-19 00:10:03,152,58,62.98,26.5,152
Bogor,2025-11-19 00:00:00,3,13,,,55
Tangerang,2025-11-19 00:00:00,52,41,,,52
Bekasi,2025-11-19 00:00:00,52,27,,,52
Jakarta,2025-11-19 00:11:07,172,72,63.35,26.9,172
Depok,2025-11-19 00:11:03,151,58,62.95,26.5,151
Bogor,2025-11-19 00:00:00,3,13,,,55
Tangerang,2025-11-19 00:00:00,52,41,,,52
Bekasi,2025-11-19 00:00:00,52,27,,,52
Jakarta,2025-11-19 00:12:00,171,72,63.35,26.9,171
Depok,2025-11-19 00:12:03,151,57,63,26.53,151
Bogor,2025-11-19 00:00:00,3,13,,,55
Tangerang,2025-11-19 00:00:00,52,41,,,52
Bekasi,2025-11-19 00:00:00,52,27,,,52
Jakarta,2025-11-19 00:13:00,169,69,63.4,26.9,169
Depok,2025-11-19 00:13:03,152,58,63,26.55,152
Bogor,2025-11-19 00:00:00,3,13,,,55
Tangerang,2025-11-19 00:00:00,52,41,,,52
Bekasi,2025-11-19 00:00:00,52,27,,,52
Jakarta,2025-11-19 00:15:00,173,73,63.5,26.88,173
Depok,2025-11-19 00:15:03,151,58,62.88,26.57,151
Bogor,2025-11-19 00:00:00,3,13,,,55
Tangerang,2025-11-19 00:00:00,52,41,,,52
Bekasi,2025-11-19 00:00:00,52,27,,,52
Jakarta,2025-11-19 00:16:00,173,73,63.49,26.87,173
Depok,2025-11-19 00:16:03,151,57,63,26.55,151
Bogor,2025-11-19 00:00:00,3,13,,,55
Tangerang,2025-11-19 00:00:00,52,41,,,52
Bekasi,2025-11-19 00:00:00,52,27,,,52
Jakarta,2025-11-19 00:17:01,172,72,63.52,26.87,172
Depok,2025-11-19 00:17:03,152,58,62.85,26.57,152
Bogor,2025-11-19 00:00:00,3,13,,,55
Tangerang,2025-11-19 00:00:00,52,41,,,52
Bekasi,2025-11-19 00:00:00,52,27,,,52
Jakarta,2025-11-19 00:18:00,173,73,63.52,26.82,173
Depok,2025-11-19 00:18:03,150,57,62.87,26.55,150
Bogor,2025-11-19 00:00:00,3,13,,,55
Tangerang,2025-11-19 00:00:00,52,41,,,52
Bekasi,2025-11-19 00:00:00,52,27,,,52
Jakarta,2025-11-19 00:19:00,172,73,63.54,26.83,172
Depok,2025-11-19 00:19:03,151,57,62.83,26.52,151
Bogor,2025-11-19 00:00:00,3,13,,,55
Tangerang,2025-11-19 00:00:00,52,41,,,52
Bekasi,2025-11-19 00:00:00,52,27,,,52
Jakarta,2025-11-19 00:20:00,171,71,63.54,26.8,171
Depok,2025-11-19 00:20:03,152,58,62.83,26.5,152
Bogor,2025-11-19 00:00:00,3,13,,,55
Tangerang,2025-11-19 00:00:00,52,41,,,52
Bekasi,2025-11-19 00:00:00,52,27,,,52
Jakarta,2025-11-19 00:21:01,172,72,63.5,26.8,172
Depok,2025-11-19 00:21:03,151,57,62.92,26.5,151
Bogor,2025-11-19 00:00:00,3,13,,,55
Tangerang,2025-11-19 00:00:00,52,41,,,52
Bekasi,2025-11-19 00:00:00,52,27,,,52
Jakarta,2025-11-19 00:24:00,169,69,63.6,26.8,169
Depok,2025-11-19 00:23:03,152,57,62.88,26.5,152
Bogor,2025-11-19 00:00:00,3,13,,,55
Tangerang,2025-11-19 00:00:00,52,41,,,52
Bekasi,2025-11-19 00:00:00,52,27,,,52
Jakarta,2025-11-19 00:24:00,169,69,63.6,26.8,169
Depok,2025-11-19 00:24:03,150,57,62.97,26.5,150
Bogor,2025-11-19 00:00:00,3,13,,,55
Tangerang,2025-11-19 00:00:00,52,41,,,52
Bekasi,2025-11-19 00:00:00,52,27,,,52
Jakarta,2025-11-19 00:26:02,174,74,63.6,26.8,174
Depok,2025-11-19 00:26:03,150,56,62.77,26.5,150
Bogor,2025-11-19 00:00:00,3,13,,,55
Tangerang,2025-11-19 00:00:00,52,41,,,52
Bekasi,2025-11-19 00:00:00,52,27,,,52
Jakarta,2025-11-19 00:26:02,174,74,63.6,26.8,174
Depok,2025-11-19 00:26:03,150,56,62.77,26.5,150
Bogor,2025-11-19 00:00:00,3,13,,,55
Tangerang,2025-11-19 00:00:00,52,41,,,52
Bekasi,2025-11-19 00:00:00,52,27,,,52
Jakarta,2025-11-19 00:28:00,172,74,63.52,26.8,172
