city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-30 23:58:10,114,45,61.83,26.77,114
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-11-30 23:00:00,59,44,,,59
Bekasi,2025-11-30 23:00:00,66,33,,,66
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-30 23:59:10,117,48,61.73,26.8,117
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-11-30 23:00:00,59,44,,,59
Bekasi,2025-11-30 23:00:00,66,33,,,66
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-01 00:00:10,119,49,61.75,26.8,119
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-11-30 23:00:00,59,44,,,59
Bekasi,2025-11-30 23:00:00,66,33,,,66
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-01 00:02:10,126,51,61.75,26.8,126
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-11-30 23:00:00,59,44,,,59
Bekasi,2025-11-30 23:00:00,66,33,,,66
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-01 00:03:11,125,50,61.78,26.75,125
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-11-30 23:00:00,59,44,,,59
Bekasi,2025-11-30 23:00:00,66,33,,,66
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-01 00:04:10,127,51,61.77,26.8,127
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-01 00:00:00,58,43,,,58
Bekasi,2025-12-01 00:00:00,65,32,,,65
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-01 00:05:10,130,52,61.75,26.78,130
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-01 00:00:00,58,43,,,58
Bekasi,2025-12-01 00:00:00,65,32,,,65
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-01 00:06:10,132,53,61.75,26.8,132
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-01 00:00:00,58,43,,,58
Bekasi,2025-12-01 00:00:00,65,32,,,65
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-01 00:08:10,126,51,61.65,26.8,126
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-01 00:00:00,58,43,,,58
Bekasi,2025-12-01 00:00:00,65,32,,,65
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-01 00:09:11,130,52,61.6,26.8,130
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-01 00:00:00,58,43,,,58
Bekasi,2025-12-01 00:00:00,65,32,,,65
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-01 00:11:10,130,52,61.62,26.8,130
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-01 00:00:00,58,43,,,58
Bekasi,2025-12-01 00:00:00,65,32,,,65
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-01 00:12:10,136,53,61.62,26.8,136
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-01 00:00:00,58,43,,,58
Bekasi,2025-12-01 00:00:00,65,32,,,65
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-01 00:13:12,136,53,61.65,26.8,136
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-01 00:00:00,58,43,,,58
Bekasi,2025-12-01 00:00:00,65,32,,,65
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-01 00:14:15,132,53,61.6,26.82,132
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-01 00:00:00,58,43,,,58
Bekasi,2025-12-01 00:00:00,65,32,,,65
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-01 00:15:12,130,52,61.6,26.82,130
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-01 00:00:00,58,43,,,58
Bekasi,2025-12-01 00:00:00,65,32,,,65
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-01 00:16:14,127,52,61.65,26.88,127
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-01 00:00:00,58,43,,,58
Bekasi,2025-12-01 00:00:00,65,32,,,65
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-01 00:17:13,136,53,61.6,26.83,136
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-01 00:00:00,58,43,,,58
Bekasi,2025-12-01 00:00:00,65,32,,,65
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-01 00:18:12,139,54,61.67,26.87,139
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-01 00:00:00,58,43,,,58
Bekasi,2025-12-01 00:00:00,65,32,,,65
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-01 00:20:12,140,56,61.9,26.87,140
