city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-23 23:58:39,151,58,53.92,27.9,151
Bogor,2025-11-23 23:00:00,4,12,,,56
Tangerang,2025-11-23 23:00:00,46,33,,,46
Bekasi,2025-11-23 23:00:00,33,25,,,33
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-23 23:59:39,151,57,53.85,27.9,151
Bogor,2025-11-23 23:00:00,4,12,,,56
Tangerang,2025-11-23 23:00:00,46,33,,,46
Bekasi,2025-11-23 23:00:00,33,25,,,33
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:00:39,149,58,53.82,27.9,149
Bogor,2025-11-23 23:00:00,4,12,,,56
Tangerang,2025-11-23 23:00:00,46,33,,,46
Bekasi,2025-11-23 23:00:00,33,25,,,33
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:02:40,152,59,53.72,27.9,152
Bogor,2025-11-23 23:00:00,4,12,,,56
Tangerang,2025-11-23 23:00:00,46,33,,,46
Bekasi,2025-11-23 23:00:00,33,25,,,33
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:03:40,151,58,53.73,27.9,151
Bogor,2025-11-23 23:00:00,4,12,,,56
Tangerang,2025-11-23 23:00:00,46,33,,,46
Bekasi,2025-11-23 23:00:00,33,25,,,33
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:04:43,153,59,53.73,27.9,153
Bogor,2025-11-23 23:00:00,4,12,,,56
Tangerang,2025-11-23 23:00:00,46,33,,,46
Bekasi,2025-11-23 23:00:00,33,25,,,33
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:05:42,155,61,53.7,27.9,155
Bogor,2025-11-23 23:00:00,4,12,,,56
Tangerang,2025-11-23 23:00:00,46,33,,,46
Bekasi,2025-11-23 23:00:00,33,25,,,33
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:06:39,156,61,53.63,27.9,156
Bogor,2025-11-23 23:00:00,4,12,,,56
Tangerang,2025-11-23 23:00:00,46,33,,,46
Bekasi,2025-11-23 23:00:00,33,25,,,33
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:07:42,156,61,53.73,27.9,156
Bogor,2025-11-23 23:00:00,4,12,,,56
Tangerang,2025-11-23 23:00:00,46,33,,,46
Bekasi,2025-11-23 23:00:00,33,25,,,33
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:09:40,156,61,54,27.9,156
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:09:40,156,61,54,27.9,156
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:11:39,157,61,53.88,27.9,157
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:13:39,156,62,53.93,27.9,156
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:14:40,158,62,53.97,27.85,158
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:15:39,157,62,54,27.85,157
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:16:39,155,61,53.98,27.83,155
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:17:39,156,61,53.93,27.8,156
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:18:39,155,61,54.05,27.8,155
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:20:39,155,60,54.07,27.8,155
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:21:39,155,60,54.03,27.8,155
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:22:39,155,59,54.08,27.8,155
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:23:39,154,60,53.97,27.8,154
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:24:40,155,60,54.08,27.8,155
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:25:39,153,59,54.1,27.8,153
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:27:39,152,59,53.88,27.8,152
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:29:39,151,58,53.57,27.8,151
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:29:39,151,58,53.57,27.8,151
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:31:39,151,58,53.9,27.8,151
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:32:39,150,57,53.83,27.8,150
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:33:40,150,57,53.53,27.8,150
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:34:39,143,57,53.13,27.8,143
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:35:39,141,55,53.12,27.8,141
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:35:39,141,55,53.12,27.8,141
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:38:06,136,53,52.87,27.8,136
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:39:06,133,53,52.82,27.7,133
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:40:06,134,54,53.02,27.7,134
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:41:06,135,54,53.15,27.7,135
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:42:06,135,54,53.3,27.7,135
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:43:07,136,55,53.33,27.7,136
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:44:06,137,54,53.35,27.7,137
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:47:06,138,55,53.55,27.6,138
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:47:06,138,55,53.55,27.6,138
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:49:30,138,54,53.5,27.6,138
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:49:30,138,54,53.5,27.6,138
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:51:30,130,53,53.57,27.58,130
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:51:30,130,53,53.57,27.58,130
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:53:30,130,52,53.58,27.5,130
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:55:31,118,50,53.48,27.5,118
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:56:30,113,47,53.53,27.5,113
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:57:30,115,48,53.57,27.42,115
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:58:30,110,46,53.55,27.4,110
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:59:30,107,43,53.62,27.4,107
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 00:59:30,107,43,53.62,27.4,107
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 01:02:00,108,44,53.82,27.37,108
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 01:03:59,102,43,53.82,27.3,102
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 01:03:59,102,43,53.82,27.3,102
Bogor,2025-11-24 00:00:00,3,10,,,56
Tangerang,2025-11-24 00:00:00,46,33,,,46
Bekasi,2025-11-24 00:00:00,32,24,,,32
