city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-09 23:58:30,118,49,56.85,28,118
Bogor,2025-12-09 23:00:00,3,30,,,30
Tangerang,2025-12-09 23:00:00,55,45,,,55
Bekasi,2025-12-09 23:00:00,16,20,,,20
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-09 23:59:30,118,50,56.87,28,118
Bogor,2025-12-09 23:00:00,3,30,,,30
Tangerang,2025-12-09 23:00:00,55,45,,,55
Bekasi,2025-12-09 23:00:00,16,20,,,20
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-10 00:00:30,123,50,56.82,28.02,123
Bogor,2025-12-09 23:00:00,3,30,,,30
Tangerang,2025-12-09 23:00:00,55,45,,,55
Bekasi,2025-12-09 23:00:00,16,20,,,20
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-10 00:01:30,120,48,56.83,28.02,120
Bogor,2025-12-09 23:00:00,3,30,,,30
Tangerang,2025-12-09 23:00:00,55,45,,,55
Bekasi,2025-12-09 23:00:00,16,20,,,20
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-10 00:02:30,118,49,56.78,28.02,118
Bogor,2025-12-09 23:00:00,3,30,,,30
Tangerang,2025-12-09 23:00:00,55,45,,,55
Bekasi,2025-12-09 23:00:00,16,20,,,20
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-10 00:04:30,118,49,56.7,28.1,118
Bogor,2025-12-09 23:00:00,3,30,,,30
Tangerang,2025-12-09 23:00:00,55,45,,,55
Bekasi,2025-12-09 23:00:00,16,20,,,20
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-10 00:05:30,115,47,56.8,28.05,115
Bogor,2025-12-09 23:00:00,3,30,,,30
Tangerang,2025-12-09 23:00:00,55,45,,,55
Bekasi,2025-12-09 23:00:00,16,20,,,20
