city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-13 23:58:52,54,17,57.43,27.5,54
Bogor,2025-12-13 23:00:00,4,20,,,20
Tangerang,2025-12-13 23:00:00,45,34,,,45
Bekasi,2025-12-13 23:00:00,37,24,,,37
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-14 00:00:51,57,19,57.48,27.5,57
Bogor,2025-12-13 23:00:00,4,20,,,20
Tangerang,2025-12-13 23:00:00,45,34,,,45
Bekasi,2025-12-13 23:00:00,37,24,,,37
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-14 00:01:51,63,20,57.57,27.52,63
Bogor,2025-12-13 23:00:00,4,20,,,20
Tangerang,2025-12-13 23:00:00,45,34,,,45
Bekasi,2025-12-13 23:00:00,37,24,,,37
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-14 00:02:51,62,19,57.55,27.52,62
Bogor,2025-12-13 23:00:00,4,20,,,20
Tangerang,2025-12-13 23:00:00,45,34,,,45
Bekasi,2025-12-13 23:00:00,37,24,,,37
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-14 00:03:51,71,21,57.52,27.52,71
Bogor,2025-12-13 23:00:00,4,20,,,20
Tangerang,2025-12-13 23:00:00,45,34,,,45
Bekasi,2025-12-13 23:00:00,37,24,,,37
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-14 00:05:51,65,20,57.57,27.52,65
Bogor,2025-12-13 23:00:00,4,20,,,20
Tangerang,2025-12-13 23:00:00,45,34,,,45
Bekasi,2025-12-13 23:00:00,37,24,,,37
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-14 00:05:51,65,20,57.57,27.52,65
Bogor,2025-12-13 23:00:00,4,20,,,20
Tangerang,2025-12-13 23:00:00,45,34,,,45
Bekasi,2025-12-13 23:00:00,37,24,,,37
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-14 00:07:51,66,20,57.6,27.52,66
Bogor,2025-12-13 23:00:00,4,20,,,20
Tangerang,2025-12-13 23:00:00,45,34,,,45
Bekasi,2025-12-13 23:00:00,37,24,,,37
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-14 00:07:51,66,20,57.6,27.52,66
Bogor,2025-12-14 00:00:00,4,19,,,19
Tangerang,2025-12-14 00:00:00,43,32,,,43
Bekasi,2025-12-14 00:00:00,27,22,,,27
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-14 00:09:51,68,21,57.62,27.5,68
Bogor,2025-12-14 00:00:00,4,19,,,19
Tangerang,2025-12-14 00:00:00,43,32,,,43
Bekasi,2025-12-14 00:00:00,27,22,,,27
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-14 00:11:51,72,22,57.65,27.55,72
Bogor,2025-12-14 00:00:00,4,19,,,19
Tangerang,2025-12-14 00:00:00,43,32,,,43
Bekasi,2025-12-14 00:00:00,27,22,,,27
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-14 00:12:51,72,22,57.53,27.57,72
Bogor,2025-12-14 00:00:00,4,19,,,19
Tangerang,2025-12-14 00:00:00,43,32,,,43
Bekasi,2025-12-14 00:00:00,27,22,,,27
