city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-11-08 23:58:13,71,21,54.8,27.7,71
Depok,2025-11-08 23:57:39,101,40,56.18,27.68,101
Bogor,2025-11-08 23:00:00,7,12,,,55
Tangerang,2025-11-08 23:00:00,35,27,,,35
Bekasi,2025-11-08 23:00:00,3,12,,,12
Jakarta,2025-11-08 23:58:13,71,21,54.8,27.7,71
Depok,2025-11-08 23:57:39,101,40,56.18,27.68,101
Bogor,2025-11-08 23:00:00,7,12,,,55
Tangerang,2025-11-08 23:00:00,35,27,,,35
Bekasi,2025-11-08 23:00:00,3,12,,,12
Jakarta,2025-11-09 00:00:13,70,20,54.52,27.7,70
Depok,2025-11-08 23:59:39,99,38,56.22,27.65,99
Bogor,2025-11-08 23:00:00,7,12,,,55
Tangerang,2025-11-08 23:00:00,35,27,,,35
Bekasi,2025-11-08 23:00:00,3,12,,,12
Jakarta,2025-11-09 00:02:13,67,18,54.67,27.8,67
Depok,2025-11-09 00:01:40,113,45,55.88,27.67,113
Bogor,2025-11-08 23:00:00,7,12,,,55
Tangerang,2025-11-08 23:00:00,35,27,,,35
Bekasi,2025-11-08 23:00:00,3,12,,,12
Jakarta,2025-11-09 00:03:13,70,20,54.6,27.8,70
Depok,2025-11-09 00:02:40,108,43,55.62,27.7,108
Bogor,2025-11-08 23:00:00,7,12,,,55
Tangerang,2025-11-08 23:00:00,35,27,,,35
Bekasi,2025-11-08 23:00:00,3,12,,,12
Jakarta,2025-11-09 00:04:13,75,22,54.43,27.9,75
Depok,2025-11-09 00:03:39,114,47,55.7,27.7,114
Bogor,2025-11-08 23:00:00,7,12,,,55
Tangerang,2025-11-08 23:00:00,35,27,,,35
Bekasi,2025-11-08 23:00:00,3,12,,,12
Jakarta,2025-11-09 00:05:13,73,22,54.35,27.92,73
Depok,2025-11-09 00:04:39,112,46,55.57,27.7,112
Bogor,2025-11-08 23:00:00,7,12,,,55
Tangerang,2025-11-08 23:00:00,35,27,,,35
Bekasi,2025-11-08 23:00:00,3,12,,,12
Jakarta,2025-11-09 00:06:13,63,17,54.2,28,63
Depok,2025-11-09 00:05:39,117,46,55.65,27.7,117
Bogor,2025-11-08 23:00:00,7,12,,,55
Tangerang,2025-11-08 23:00:00,35,27,,,35
Bekasi,2025-11-08 23:00:00,3,12,,,12
Jakarta,2025-11-09 00:08:13,67,19,53.7,28,67
Depok,2025-11-09 00:07:39,112,43,56.23,27.7,112
Bogor,2025-11-09 00:00:00,6,11,,,55
Tangerang,2025-11-09 00:00:00,35,27,,,35
Bekasi,2025-11-09 00:00:00,3,13,,,13
Jakarta,2025-11-09 00:09:13,61,16,53.63,28,61
Depok,2025-11-09 00:08:39,118,47,55.7,27.73,118
Bogor,2025-11-09 00:00:00,6,11,,,55
Tangerang,2025-11-09 00:00:00,35,27,,,35
Bekasi,2025-11-09 00:00:00,3,13,,,13
Jakarta,2025-11-09 00:10:14,65,18,53.6,28,65
Depok,2025-11-09 00:09:39,110,45,55.85,27.7,110
Bogor,2025-11-09 00:00:00,6,11,,,55
Tangerang,2025-11-09 00:00:00,35,27,,,35
Bekasi,2025-11-09 00:00:00,3,13,,,13
Jakarta,2025-11-09 00:11:13,58,15,53.45,28.02,58
Depok,2025-11-09 00:10:40,97,37,55.97,27.77,97
Bogor,2025-11-09 00:00:00,6,11,,,55
Tangerang,2025-11-09 00:00:00,35,27,,,35
Bekasi,2025-11-09 00:00:00,3,13,,,13
Jakarta,2025-11-09 00:13:13,61,16,53.43,28,61
Depok,2025-11-09 00:12:39,95,36,56.08,27.8,95
Bogor,2025-11-09 00:00:00,6,11,,,55
Tangerang,2025-11-09 00:00:00,35,27,,,35
Bekasi,2025-11-09 00:00:00,3,13,,,13
Jakarta,2025-11-09 00:13:13,61,16,53.43,28,61
Depok,2025-11-09 00:12:39,95,36,56.08,27.8,95
Bogor,2025-11-09 00:00:00,6,11,,,55
Tangerang,2025-11-09 00:00:00,35,27,,,35
Bekasi,2025-11-09 00:00:00,3,13,,,13
Jakarta,2025-11-09 00:15:13,61,16,53.42,27.97,61
Depok,2025-11-09 00:14:40,93,34,55.88,27.8,93
Bogor,2025-11-09 00:00:00,6,11,,,55
Tangerang,2025-11-09 00:00:00,35,27,,,35
Bekasi,2025-11-09 00:00:00,3,13,,,13
Jakarta,2025-11-09 00:17:13,55,13,53.33,27.9,55
Depok,2025-11-09 00:16:40,92,31,55.78,27.8,92
Bogor,2025-11-09 00:00:00,6,11,,,55
Tangerang,2025-11-09 00:00:00,35,27,,,35
Bekasi,2025-11-09 00:00:00,3,13,,,13
Jakarta,2025-11-09 00:17:13,55,13,53.33,27.9,55
Depok,2025-11-09 00:16:40,92,31,55.78,27.8,92
Bogor,2025-11-09 00:00:00,6,11,,,55
Tangerang,2025-11-09 00:00:00,35,27,,,35
Bekasi,2025-11-09 00:00:00,3,13,,,13
Jakarta,2025-11-09 00:19:13,49,12,53.28,27.9,49
Depok,2025-11-09 00:18:40,90,31,55.42,27.8,90
Bogor,2025-11-09 00:00:00,6,11,,,55
Tangerang,2025-11-09 00:00:00,35,27,,,35
Bekasi,2025-11-09 00:00:00,3,13,,,13
Jakarta,2025-11-09 00:20:13,51,12,53.27,27.9,51
Depok,2025-11-09 00:19:40,87,30,55.1,27.8,87
Bogor,2025-11-09 00:00:00,6,11,,,55
Tangerang,2025-11-09 00:00:00,35,27,,,35
Bekasi,2025-11-09 00:00:00,3,13,,,13
Jakarta,2025-11-09 00:21:13,57,14,53.17,27.9,57
Depok,2025-11-09 00:20:40,95,35,55.53,27.8,95
Bogor,2025-11-09 00:00:00,6,11,,,55
Tangerang,2025-11-09 00:00:00,35,27,,,35
Bekasi,2025-11-09 00:00:00,3,13,,,13
Jakarta,2025-11-09 00:22:14,52,12,53.3,27.9,52
Depok,2025-11-09 00:21:40,98,37,55.73,27.82,98
Bogor,2025-11-09 00:00:00,6,11,,,55
Tangerang,2025-11-09 00:00:00,35,27,,,35
Bekasi,2025-11-09 00:00:00,3,13,,,13
Jakarta,2025-11-09 00:23:13,57,14,53.3,27.9,57
Depok,2025-11-09 00:22:40,93,35,55.55,27.8,93
Bogor,2025-11-09 00:00:00,6,11,,,55
Tangerang,2025-11-09 00:00:00,35,27,,,35
Bekasi,2025-11-09 00:00:00,3,13,,,13
Jakarta,2025-11-09 00:25:14,57,14,53.2,27.88,57
Depok,2025-11-09 00:24:40,97,37,56.23,27.8,97
Bogor,2025-11-09 00:00:00,6,11,,,55
Tangerang,2025-11-09 00:00:00,35,27,,,35
