city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 23:58:48,160,62,50.3,27.58,160
Bogor,2025-11-24 23:00:00,4,7,,,55
Tangerang,2025-11-24 23:00:00,36,29,,,36
Bekasi,2025-11-24 23:00:00,0,16,,,16
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-24 23:59:48,162,67,50.5,27.53,162
Bogor,2025-11-24 23:00:00,4,7,,,55
Tangerang,2025-11-24 23:00:00,36,29,,,36
Bekasi,2025-11-24 23:00:00,0,16,,,16
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-25 00:01:48,169,72,50.53,27.6,169
Bogor,2025-11-25 00:00:00,4,7,,,55
Tangerang,2025-11-25 00:00:00,36,29,,,36
Bekasi,2025-11-25 00:00:00,0,17,,,17
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-25 00:01:48,169,72,50.53,27.6,169
Bogor,2025-11-25 00:00:00,4,7,,,55
Tangerang,2025-11-25 00:00:00,36,29,,,36
Bekasi,2025-11-25 00:00:00,0,17,,,17
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-25 00:03:48,154,60,50.58,27.6,154
Bogor,2025-11-25 00:00:00,4,7,,,55
Tangerang,2025-11-25 00:00:00,36,29,,,36
Bekasi,2025-11-25 00:00:00,0,17,,,17
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-25 00:04:50,151,57,50.62,27.5,151
Bogor,2025-11-25 00:00:00,4,7,,,55
Tangerang,2025-11-25 00:00:00,36,29,,,36
Bekasi,2025-11-25 00:00:00,0,17,,,17
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-25 00:06:16,151,57,50.68,27.5,151
Bogor,2025-11-25 00:00:00,4,7,,,55
Tangerang,2025-11-25 00:00:00,36,29,,,36
Bekasi,2025-11-25 00:00:00,0,17,,,17
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
