city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-12-20 23:58:39,82,25,57.85,28.4,82
Depok,2025-12-20 23:59:22,127,51,63.27,26.8,127
Bogor,2025-12-20 23:00:00,3,9,,,9
Tangerang,2025-12-20 23:00:00,41,33,,,41
Bekasi,2025-12-20 23:00:00,25,19,,,25
Jakarta,2025-12-21 00:00:39,90,29,58.37,28.2,90
Depok,2025-12-21 00:01:25,126,50,63.38,26.8,126
Bogor,2025-12-20 23:00:00,3,9,,,9
Tangerang,2025-12-20 23:00:00,41,33,,,41
Bekasi,2025-12-20 23:00:00,25,19,,,25
Jakarta,2025-12-21 00:00:39,90,29,58.37,28.2,90
Depok,2025-12-21 00:01:25,126,50,63.38,26.8,126
Bogor,2025-12-20 23:00:00,3,9,,,9
Tangerang,2025-12-20 23:00:00,41,33,,,41
Bekasi,2025-12-20 23:00:00,25,19,,,25
Jakarta,2025-12-21 00:02:39,77,23,58.63,28.1,77
Depok,2025-12-21 00:03:29,130,53,63.33,26.8,130
Bogor,2025-12-20 23:00:00,3,9,,,9
Tangerang,2025-12-20 23:00:00,41,33,,,41
Bekasi,2025-12-20 23:00:00,25,19,,,25
Jakarta,2025-12-21 00:02:39,77,23,58.63,28.1,77
Depok,2025-12-21 00:03:29,130,53,63.33,26.8,130
Bogor,2025-12-20 23:00:00,3,9,,,9
Tangerang,2025-12-20 23:00:00,41,33,,,41
Bekasi,2025-12-20 23:00:00,25,19,,,25
Jakarta,2025-12-21 00:04:39,79,24,58.73,28.1,79
Depok,2025-12-21 00:05:22,125,50,63.37,26.8,125
Bogor,2025-12-20 23:00:00,3,9,,,9
Tangerang,2025-12-20 23:00:00,41,33,,,41
Bekasi,2025-12-20 23:00:00,25,19,,,25
Jakarta,2025-12-21 00:05:39,83,26,58.77,28.12,83
Depok,2025-12-21 00:05:22,125,50,63.37,26.8,125
Bogor,2025-12-20 23:00:00,3,9,,,9
Tangerang,2025-12-20 23:00:00,41,33,,,41
Bekasi,2025-12-20 23:00:00,25,19,,,25
Jakarta,2025-12-21 00:06:39,87,28,58.7,28.18,87
Depok,2025-12-21 00:07:11,118,50,63.28,26.8,118
Bogor,2025-12-21 00:00:00,3,9,,,9
Tangerang,2025-12-21 00:00:00,40,33,,,40
Bekasi,2025-12-21 00:00:00,30,20,,,30
Jakarta,2025-12-21 00:08:39,88,27,58.7,28.2,88
Depok,2025-12-21 00:09:07,116,46,63.42,26.75,116
Bogor,2025-12-21 00:00:00,3,9,,,9
Tangerang,2025-12-21 00:00:00,40,33,,,40
Bekasi,2025-12-21 00:00:00,30,20,,,30
Jakarta,2025-12-21 00:09:39,81,26,58.73,28.18,81
Depok,2025-12-21 00:10:08,113,45,63.42,26.73,113
Bogor,2025-12-21 00:00:00,3,9,,,9
Tangerang,2025-12-21 00:00:00,40,33,,,40
Bekasi,2025-12-21 00:00:00,30,20,,,30
Jakarta,2025-12-21 00:10:39,86,27,58.72,28.2,86
Depok,2025-12-21 00:11:08,118,50,63.5,26.73,118
Bogor,2025-12-21 00:00:00,3,9,,,9
Tangerang,2025-12-21 00:00:00,40,33,,,40
Bekasi,2025-12-21 00:00:00,30,20,,,30
Jakarta,2025-12-21 00:11:39,70,21,58.7,28.2,70
Depok,2025-12-21 00:12:08,124,50,63.47,26.72,124
Bogor,2025-12-21 00:00:00,3,9,,,9
Tangerang,2025-12-21 00:00:00,40,33,,,40
Bekasi,2025-12-21 00:00:00,30,20,,,30
Jakarta,2025-12-21 00:12:39,78,24,58.8,28.12,78
Depok,2025-12-21 00:13:12,123,50,63.43,26.77,123
Bogor,2025-12-21 00:00:00,3,9,,,9
Tangerang,2025-12-21 00:00:00,40,33,,,40
Bekasi,2025-12-21 00:00:00,30,20,,,30
Jakarta,2025-12-21 00:13:39,63,17,58.95,28.1,63
Depok,2025-12-21 00:14:08,125,50,63.4,26.78,125
Bogor,2025-12-21 00:00:00,3,9,,,9
Tangerang,2025-12-21 00:00:00,40,33,,,40
Bekasi,2025-12-21 00:00:00,30,20,,,30
Jakarta,2025-12-21 00:14:39,65,18,59.13,28,65
Depok,2025-12-21 00:15:08,125,51,63.38,26.78,125
Bogor,2025-12-21 00:00:00,3,9,,,9
Tangerang,2025-12-21 00:00:00,40,33,,,40
Bekasi,2025-12-21 00:00:00,30,20,,,30
Jakarta,2025-12-21 00:15:39,62,16,59.3,28,62
Depok,2025-12-21 00:17:08,122,51,63.4,26.8,122
Bogor,2025-12-21 00:00:00,3,9,,,9
Tangerang,2025-12-21 00:00:00,40,33,,,40
Bekasi,2025-12-21 00:00:00,30,20,,,30
Jakarta,2025-12-21 00:18:39,70,19,59.5,28,70
Depok,2025-12-21 00:18:49,122,48,63.35,26.8,122
Bogor,2025-12-21 00:00:00,3,9,,,9
Tangerang,2025-12-21 00:00:00,40,33,,,40
Bekasi,2025-12-21 00:00:00,30,20,,,30
Jakarta,2025-12-21 00:19:39,63,17,59.5,28,63
Depok,2025-12-21 00:19:38,121,49,63.3,26.8,121
Bogor,2025-12-21 00:00:00,3,9,,,9
Tangerang,2025-12-21 00:00:00,40,33,,,40
Bekasi,2025-12-21 00:00:00,30,20,,,30
Jakarta,2025-12-21 00:19:39,63,17,59.5,28,63
Depok,2025-12-21 00:19:38,121,49,63.3,26.8,121
Bogor,2025-12-21 00:00:00,3,9,,,9
Tangerang,2025-12-21 00:00:00,40,33,,,40
Bekasi,2025-12-21 00:00:00,30,20,,,30
Jakarta,2025-12-21 00:21:39,59,16,59.5,28,59
Depok,2025-12-21 00:21:41,121,50,63.35,26.8,121
Bogor,2025-12-21 00:00:00,3,9,,,9
Tangerang,2025-12-21 00:00:00,40,33,,,40
Bekasi,2025-12-21 00:00:00,30,20,,,30
Jakarta,2025-12-21 00:22:40,63,19,59.5,28,63
Depok,2025-12-21 00:22:38,119,47,63.32,26.8,119
Bogor,2025-12-21 00:00:00,3,9,,,9
Tangerang,2025-12-21 00:00:00,40,33,,,40
Bekasi,2025-12-21 00:00:00,30,20,,,30
Jakarta,2025-12-21 00:23:39,53,12,59.5,28,53
Depok,2025-12-21 00:23:38,121,50,63.3,26.8,121
Bogor,2025-12-21 00:00:00,3,9,,,9
Tangerang,2025-12-21 00:00:00,40,33,,,40
Bekasi,2025-12-21 00:00:00,30,20,,,30
Jakarta,2025-12-21 00:24:39,56,14,59.5,28,56
Depok,2025-12-21 00:24:41,121,49,63.32,26.8,121
Bogor,2025-12-21 00:00:00,3,9,,,9
Tangerang,2025-12-21 00:00:00,40,33,,,40
Bekasi,2025-12-21 00:00:00,30,20,,,30
Jakarta,2025-12-21 00:26:40,65,18,59.5,28,65
Depok,2025-12-21 00:27:16,123,50,63.25,26.8,123
Bogor,2025-12-21 00:00:00,3,9,,,9
Tangerang,2025-12-21 00:00:00,40,33,,,40
Bekasi,2025-12-21 00:00:00,30,20,,,30
Jakarta,2025-12-21 00:27:40,56,14,59.5,28,56
Depok,2025-12-21 00:28:16,122,51,63.32,26.8,122
Bogor,2025-12-21 00:00:00,3,9,,,9
Tangerang,2025-12-21 00:00:00,40,33,,,40
Bekasi,2025-12-21 00:00:00,30,20,,,30
Jakarta,2025-12-21 00:28:39,59,16,59.4,28,59
Depok,2025-12-21 00:29:16,118,47,63.2,26.8,118
Bogor,2025-12-21 00:00:00,3,9,,,9
Tangerang,2025-12-21 00:00:00,40,33,,,40
Bekasi,2025-12-21 00:00:00,30,20,,,30
