city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-11-11 23:58:09,58,15,57.8,27.62,58
Depok,2025-11-11 23:58:04,22,5,62.3,26.8,22
Bogor,2025-11-11 23:00:00,1,8,,,56
Tangerang,2025-11-11 23:00:00,26,21,,,26
Bekasi,2025-11-11 23:00:00,0,8,,,8
Jakarta,2025-11-11 23:59:09,55,13,57.77,27.6,55
Depok,2025-11-11 23:59:04,30,7,62.43,26.8,30
Bogor,2025-11-11 23:00:00,1,8,,,56
Tangerang,2025-11-11 23:00:00,26,21,,,26
Bekasi,2025-11-11 23:00:00,0,8,,,8
Jakarta,2025-11-12 00:00:09,57,14,57.78,27.67,57
Depok,2025-11-12 00:00:04,31,7,62.42,26.8,31
Bogor,2025-11-11 23:00:00,1,8,,,56
Tangerang,2025-11-12 00:00:00,27,21,,,27
Bekasi,2025-11-12 00:00:00,1,7,,,7
Jakarta,2025-11-12 00:02:09,65,17,57.72,27.68,65
Depok,2025-11-12 00:02:04,34,9,62.33,26.8,34
Bogor,2025-11-12 00:00:00,1,9,,,56
Tangerang,2025-11-12 00:00:00,27,21,,,27
Bekasi,2025-11-12 00:00:00,1,7,,,7
Jakarta,2025-11-12 00:03:09,68,19,57.68,27.7,68
Depok,2025-11-12 00:03:04,45,10,62.33,26.8,45
Bogor,2025-11-12 00:00:00,1,9,,,56
Tangerang,2025-11-12 00:00:00,27,21,,,27
Bekasi,2025-11-12 00:00:00,1,7,,,7
Jakarta,2025-11-12 00:04:09,71,21,57.62,27.7,71
Depok,2025-11-12 00:04:04,49,14,62.28,26.8,49
Bogor,2025-11-12 00:00:00,1,9,,,56
Tangerang,2025-11-12 00:00:00,27,21,,,27
Bekasi,2025-11-12 00:00:00,1,7,,,7
Jakarta,2025-11-12 00:05:09,72,21,57.5,27.7,72
Depok,2025-11-12 00:05:04,37,11,62.25,26.82,37
Bogor,2025-11-12 00:00:00,1,9,,,56
Tangerang,2025-11-12 00:00:00,27,21,,,27
Bekasi,2025-11-12 00:00:00,1,7,,,7
Jakarta,2025-11-12 00:06:09,75,23,57.4,27.78,75
Depok,2025-11-12 00:06:04,41,12,62.35,26.8,41
Bogor,2025-11-12 00:00:00,1,9,,,56
Tangerang,2025-11-12 00:00:00,27,21,,,27
Bekasi,2025-11-12 00:00:00,1,7,,,7
Jakarta,2025-11-12 00:07:09,71,21,57.3,27.8,71
Depok,2025-11-12 00:08:04,30,7,62.22,26.82,30
Bogor,2025-11-12 00:00:00,1,9,,,56
Tangerang,2025-11-12 00:00:00,27,21,,,27
Bekasi,2025-11-12 00:00:00,1,7,,,7
Jakarta,2025-11-12 00:09:09,68,19,57.2,27.8,68
Depok,2025-11-12 00:09:04,28,7,62.3,26.8,28
Bogor,2025-11-12 00:00:00,1,9,,,56
Tangerang,2025-11-12 00:00:00,27,21,,,27
Bekasi,2025-11-12 00:00:00,1,7,,,7
Jakarta,2025-11-12 00:10:09,70,19,57.13,27.8,70
Depok,2025-11-12 00:10:04,28,7,62.37,26.8,28
Bogor,2025-11-12 00:00:00,1,9,,,56
Tangerang,2025-11-12 00:00:00,27,21,,,27
Bekasi,2025-11-12 00:00:00,1,7,,,7
Jakarta,2025-11-12 00:12:10,71,20,57,27.8,71
Depok,2025-11-12 00:12:05,35,8,62.57,26.77,35
Bogor,2025-11-12 00:00:00,1,9,,,56
Tangerang,2025-11-12 00:00:00,27,21,,,27
Bekasi,2025-11-12 00:00:00,1,7,,,7
Jakarta,2025-11-12 00:13:10,71,20,57,27.8,71
Depok,2025-11-12 00:13:04,36,10,62.57,26.7,36
Bogor,2025-11-12 00:00:00,1,9,,,56
Tangerang,2025-11-12 00:00:00,27,21,,,27
Bekasi,2025-11-12 00:00:00,1,7,,,7
Jakarta,2025-11-12 00:14:10,76,23,57.02,27.8,76
Depok,2025-11-12 00:14:04,28,7,62.7,26.7,28
Bogor,2025-11-12 00:00:00,1,9,,,56
Tangerang,2025-11-12 00:00:00,27,21,,,27
Bekasi,2025-11-12 00:00:00,1,7,,,7
Jakarta,2025-11-12 00:14:10,76,23,57.02,27.8,76
Depok,2025-11-12 00:15:04,39,10,62.67,26.7,39
Bogor,2025-11-12 00:00:00,1,9,,,56
Tangerang,2025-11-12 00:00:00,27,21,,,27
Bekasi,2025-11-12 00:00:00,1,7,,,7
Jakarta,2025-11-12 00:14:10,76,23,57.02,27.8,76
Depok,2025-11-12 00:16:04,43,12,62.88,26.7,43
Bogor,2025-11-12 00:00:00,1,9,,,56
Tangerang,2025-11-12 00:00:00,27,21,,,27
Bekasi,2025-11-12 00:00:00,1,7,,,7
Jakarta,2025-11-12 00:18:12,78,23,56.95,27.8,78
Depok,2025-11-12 00:18:04,33,9,62.88,26.67,33
Bogor,2025-11-12 00:00:00,1,9,,,56
Tangerang,2025-11-12 00:00:00,27,21,,,27
Bekasi,2025-11-12 00:00:00,1,7,,,7
Jakarta,2025-11-12 00:19:12,75,23,56.9,27.75,75
Depok,2025-11-12 00:19:04,35,8,62.97,26.7,35
Bogor,2025-11-12 00:00:00,1,9,,,56
Tangerang,2025-11-12 00:00:00,27,21,,,27
Bekasi,2025-11-12 00:00:00,1,7,,,7
Jakarta,2025-11-12 00:20:12,75,22,56.95,27.7,75
Depok,2025-11-12 00:20:04,37,12,62.92,26.7,37
Bogor,2025-11-12 00:00:00,1,9,,,56
Tangerang,2025-11-12 00:00:00,27,21,,,27
Bekasi,2025-11-12 00:00:00,1,7,,,7
Jakarta,2025-11-12 00:21:12,73,21,56.9,27.78,73
Depok,2025-11-12 00:21:04,42,10,62.95,26.7,42
Bogor,2025-11-12 00:00:00,1,9,,,56
Tangerang,2025-11-12 00:00:00,27,21,,,27
Bekasi,2025-11-12 00:00:00,1,7,,,7
Jakarta,2025-11-12 00:22:12,80,26,56.82,27.72,80
Depok,2025-11-12 00:22:04,48,14,62.98,26.7,48
Bogor,2025-11-12 00:00:00,1,9,,,56
Tangerang,2025-11-12 00:00:00,27,21,,,27
Bekasi,2025-11-12 00:00:00,1,7,,,7
Jakarta,2025-11-12 00:23:12,78,23,56.88,27.7,78
Depok,2025-11-12 00:23:04,49,13,63,26.7,49
Bogor,2025-11-12 00:00:00,1,9,,,56
Tangerang,2025-11-12 00:00:00,27,21,,,27
Bekasi,2025-11-12 00:00:00,1,7,,,7
Jakarta,2025-11-12 00:24:12,72,20,56.87,27.7,72
Depok,2025-11-12 00:24:04,55,15,62.9,26.7,55
Bogor,2025-11-12 00:00:00,1,9,,,56
Tangerang,2025-11-12 00:00:00,27,21,,,27
Bekasi,2025-11-12 00:00:00,1,7,,,7
Jakarta,2025-11-12 00:26:12,71,22,57,27.7,71
Depok,2025-11-12 00:26:05,47,17,62.93,26.7,47
