city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-12 23:58:29,177,80,64.37,26.73,177
Bogor,2025-12-12 23:00:00,5,31,,,31
Tangerang,2025-12-12 23:00:00,53,43,,,53
Bekasi,2025-12-12 23:00:00,99,41,,,99
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-12 23:59:29,177,80,64.48,26.7,177
Bogor,2025-12-12 23:00:00,5,31,,,31
Tangerang,2025-12-12 23:00:00,53,43,,,53
Bekasi,2025-12-12 23:00:00,99,41,,,99
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-13 00:00:29,177,78,64.43,26.7,177
Bogor,2025-12-12 23:00:00,5,31,,,31
Tangerang,2025-12-12 23:00:00,53,43,,,53
Bekasi,2025-12-12 23:00:00,99,41,,,99
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-13 00:01:29,178,81,64.33,26.75,178
Bogor,2025-12-13 00:00:00,5,31,,,31
Tangerang,2025-12-13 00:00:00,54,43,,,54
Bekasi,2025-12-13 00:00:00,98,41,,,98
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-13 00:02:29,178,82,64.5,26.72,178
Bogor,2025-12-13 00:00:00,5,31,,,31
Tangerang,2025-12-13 00:00:00,54,43,,,54
Bekasi,2025-12-13 00:00:00,98,41,,,98
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-13 00:03:30,178,80,64.44,26.7,178
Bogor,2025-12-13 00:00:00,5,31,,,31
Tangerang,2025-12-13 00:00:00,54,43,,,54
Bekasi,2025-12-13 00:00:00,98,41,,,98
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-13 00:04:29,179,82,64.72,26.7,179
Bogor,2025-12-13 00:00:00,5,31,,,31
Tangerang,2025-12-13 00:00:00,54,43,,,54
Bekasi,2025-12-13 00:00:00,98,41,,,98
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-13 00:05:29,178,81,64.98,26.7,178
Bogor,2025-12-13 00:00:00,5,31,,,31
Tangerang,2025-12-13 00:00:00,54,43,,,54
Bekasi,2025-12-13 00:00:00,98,41,,,98
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-13 00:08:29,178,81,65.12,26.7,178
Bogor,2025-12-13 00:00:00,5,31,,,31
Tangerang,2025-12-13 00:00:00,54,43,,,54
Bekasi,2025-12-13 00:00:00,98,41,,,98
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-13 00:09:29,177,81,65,26.7,177
Bogor,2025-12-13 00:00:00,5,31,,,31
Tangerang,2025-12-13 00:00:00,54,43,,,54
Bekasi,2025-12-13 00:00:00,98,41,,,98
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-13 00:11:29,180,84,64.83,26.68,180
Bogor,2025-12-13 00:00:00,5,31,,,31
Tangerang,2025-12-13 00:00:00,54,43,,,54
Bekasi,2025-12-13 00:00:00,98,41,,,98
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-13 00:12:29,179,83,64.87,26.65,179
Bogor,2025-12-13 00:00:00,5,31,,,31
Tangerang,2025-12-13 00:00:00,54,43,,,54
Bekasi,2025-12-13 00:00:00,98,41,,,98
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-13 00:13:29,178,82,65.15,26.68,178
Bogor,2025-12-13 00:00:00,5,31,,,31
Tangerang,2025-12-13 00:00:00,54,43,,,54
Bekasi,2025-12-13 00:00:00,98,41,,,98
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-13 00:14:29,177,81,65.25,26.7,177
Bogor,2025-12-13 00:00:00,5,31,,,31
Tangerang,2025-12-13 00:00:00,54,43,,,54
Bekasi,2025-12-13 00:00:00,98,41,,,98
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-13 00:15:29,177,80,65.35,26.67,177
Bogor,2025-12-13 00:00:00,5,31,,,31
Tangerang,2025-12-13 00:00:00,54,43,,,54
Bekasi,2025-12-13 00:00:00,98,41,,,98
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-13 00:17:29,180,83,65.26,26.68,180
Bogor,2025-12-13 00:00:00,5,31,,,31
Tangerang,2025-12-13 00:00:00,54,43,,,54
Bekasi,2025-12-13 00:00:00,98,41,,,98
