city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-03 23:58:13,179,82,63.73,27.4,179
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 23:00:00,80,58,,,80
Bekasi,2025-12-03 23:00:00,112,47,,,112
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:00:13,179,82,63.85,27.43,179
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 23:00:00,80,58,,,80
Bekasi,2025-12-03 23:00:00,112,47,,,112
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:01:13,178,82,63.78,27.4,178
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 23:00:00,80,58,,,80
Bekasi,2025-12-03 23:00:00,112,47,,,112
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:02:13,178,82,63.75,27.4,178
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 23:00:00,80,58,,,80
Bekasi,2025-12-03 23:00:00,112,47,,,112
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:03:13,177,80,63.8,27.4,177
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 23:00:00,80,58,,,80
Bekasi,2025-12-03 23:00:00,112,47,,,112
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:04:13,176,79,63.65,27.4,176
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 23:00:00,80,58,,,80
Bekasi,2025-12-03 23:00:00,112,47,,,112
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:06:13,179,81,63.77,27.4,179
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 23:00:00,80,58,,,80
Bekasi,2025-12-03 23:00:00,112,47,,,112
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:06:13,179,81,63.77,27.4,179
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-03 23:00:00,80,58,,,80
Bekasi,2025-12-03 23:00:00,112,47,,,112
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:08:13,176,77,63.68,27.4,176
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-04 00:00:00,82,59,,,82
Bekasi,2025-12-04 00:00:00,101,45,,,101
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:10:13,176,78,63.6,27.4,176
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-04 00:00:00,82,59,,,82
Bekasi,2025-12-04 00:00:00,101,45,,,101
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:10:13,176,78,63.6,27.4,176
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-04 00:00:00,82,59,,,82
Bekasi,2025-12-04 00:00:00,101,45,,,101
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:11:13,175,79,63.48,27.37,175
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-04 00:00:00,82,59,,,82
Bekasi,2025-12-04 00:00:00,101,45,,,101
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:11:13,175,79,63.48,27.37,175
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-04 00:00:00,82,59,,,82
Bekasi,2025-12-04 00:00:00,101,45,,,101
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:13:26,177,79,63.48,27.4,177
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-04 00:00:00,82,59,,,82
Bekasi,2025-12-04 00:00:00,101,45,,,101
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:13:26,177,79,63.48,27.4,177
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-04 00:00:00,82,59,,,82
Bekasi,2025-12-04 00:00:00,101,45,,,101
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:16:27,176,80,63.8,27.33,176
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-04 00:00:00,82,59,,,82
Bekasi,2025-12-04 00:00:00,101,45,,,101
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:18:27,177,79,63.57,27.4,177
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-04 00:00:00,82,59,,,82
Bekasi,2025-12-04 00:00:00,101,45,,,101
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:19:27,177,80,63.38,27.4,177
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-04 00:00:00,82,59,,,82
Bekasi,2025-12-04 00:00:00,101,45,,,101
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:20:27,176,78,63.48,27.4,176
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-04 00:00:00,82,59,,,82
Bekasi,2025-12-04 00:00:00,101,45,,,101
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:21:28,177,82,63.5,27.4,177
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-04 00:00:00,82,59,,,82
Bekasi,2025-12-04 00:00:00,101,45,,,101
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:22:27,183,87,63.65,27.4,183
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-04 00:00:00,82,59,,,82
Bekasi,2025-12-04 00:00:00,101,45,,,101
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:23:27,176,80,63.87,27.4,176
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-04 00:00:00,82,59,,,82
Bekasi,2025-12-04 00:00:00,101,45,,,101
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:24:58,175,78,63.92,27.4,175
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-04 00:00:00,82,59,,,82
Bekasi,2025-12-04 00:00:00,101,45,,,101
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-04 00:26:58,176,78,63.88,27.4,176
Bogor,2025-11-30 17:00:00,15,19,,,-
