city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-28 23:57:41,118,49,52.4,28.67,118
Bogor,2025-11-28 23:00:00,8,9,,,55
Tangerang,2025-11-28 23:00:00,52,41,,,52
Bekasi,2025-11-28 23:00:00,95,48,,,95
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-28 23:58:41,117,50,52.37,28.7,117
Bogor,2025-11-28 23:00:00,8,9,,,55
Tangerang,2025-11-28 23:00:00,52,41,,,52
Bekasi,2025-11-28 23:00:00,95,48,,,95
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-28 23:59:41,118,50,52.5,28.7,118
Bogor,2025-11-28 23:00:00,8,9,,,55
Tangerang,2025-11-28 23:00:00,52,41,,,52
Bekasi,2025-11-28 23:00:00,95,48,,,95
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:00:41,116,49,52.58,28.63,116
Bogor,2025-11-28 23:00:00,8,9,,,55
Tangerang,2025-11-28 23:00:00,52,41,,,52
Bekasi,2025-11-28 23:00:00,95,48,,,95
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:01:40,115,47,52.63,28.6,115
Bogor,2025-11-28 23:00:00,8,9,,,55
Tangerang,2025-11-28 23:00:00,52,41,,,52
Bekasi,2025-11-28 23:00:00,95,48,,,95
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:02:41,115,48,52.77,28.6,115
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:04:41,117,47,52.77,28.6,117
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:05:41,115,48,52.78,28.6,115
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:05:41,115,48,52.78,28.6,115
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:05:41,115,48,52.78,28.6,115
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:05:41,115,48,52.78,28.6,115
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:10:46,115,48,52.95,28.6,115
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:11:46,116,48,52.95,28.6,116
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:13:46,115,49,53.1,28.6,115
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:14:47,115,45,53.05,28.57,115
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:15:47,115,48,53.12,28.5,115
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:16:47,117,49,53.2,28.5,117
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:17:47,116,49,53.15,28.52,116
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:19:47,115,46,53.23,28.5,115
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:19:47,115,46,53.23,28.5,115
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:21:57,106,42,53.18,28.5,106
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:23:57,114,45,53.38,28.48,114
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:23:57,114,45,53.38,28.48,114
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:25:57,110,45,53.4,28.45,110
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:25:57,110,45,53.4,28.45,110
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:27:57,108,44,53.48,28.47,108
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:28:57,113,46,53.52,28.43,113
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:29:57,112,45,53.5,28.4,112
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:31:43,120,50,53.57,28.4,120
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:31:43,120,50,53.57,28.4,120
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:33:57,114,46,53.67,28.4,114
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:34:57,111,46,53.77,28.35,111
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:35:57,100,42,53.1,28.32,100
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:36:57,111,45,53.6,28.3,111
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:38:57,111,44,53.78,28.3,111
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:39:57,113,46,53.82,28.3,113
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:40:57,113,47,53.75,28.3,113
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:41:57,113,48,53.77,28.3,113
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:42:57,114,47,53.82,28.33,114
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:44:57,112,46,53.78,28.33,112
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:44:57,112,46,53.78,28.33,112
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:46:57,106,44,53.55,28.37,106
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:48:57,102,42,53.08,28.4,102
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:48:57,102,42,53.08,28.4,102
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:50:57,101,40,52.97,28.4,101
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:50:57,101,40,52.97,28.4,101
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:52:57,100,41,52.73,28.4,100
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:53:57,100,41,52.57,28.4,100
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:54:57,99,40,52.48,28.4,99
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:56:57,98,40,52.52,28.4,98
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:57:57,93,35,52.45,28.4,93
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:58:57,92,34,52.35,28.4,92
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 00:00:00,52,42,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 00:59:57,99,37,52.47,28.4,99
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 01:00:00,52,41,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 01:00:57,92,34,52.28,28.4,92
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 01:00:00,52,41,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 01:02:57,94,33,52.33,28.4,94
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 01:00:00,52,41,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 01:02:57,94,33,52.33,28.4,94
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 01:00:00,52,41,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 01:05:57,96,35,52.45,28.4,96
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 01:00:00,52,41,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 01:05:57,96,35,52.45,28.4,96
Bogor,2025-11-29 00:00:00,8,9,,,55
Tangerang,2025-11-29 01:00:00,52,41,,,52
Bekasi,2025-11-29 00:00:00,97,49,,,97
