city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-11-16 23:58:27,76,22,54.6,28.7,76
Depok,2025-11-16 23:58:49,87,31,60.15,27.6,87
Bogor,2025-11-16 23:00:00,3,10,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-16 23:00:00,2,10,,,10
Jakarta,2025-11-16 23:59:27,72,21,54.6,28.63,72
Depok,2025-11-16 23:59:49,90,30,60.15,27.6,90
Bogor,2025-11-16 23:00:00,3,10,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-16 23:00:00,2,10,,,10
Jakarta,2025-11-17 00:00:27,75,22,54.6,28.62,75
Depok,2025-11-17 00:00:50,87,31,60.22,27.55,87
Bogor,2025-11-16 23:00:00,3,10,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-16 23:00:00,2,10,,,10
Jakarta,2025-11-17 00:01:27,70,20,54.65,28.6,70
Depok,2025-11-17 00:01:49,88,29,60.2,27.53,88
Bogor,2025-11-16 23:00:00,3,10,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-16 23:00:00,2,10,,,10
Jakarta,2025-11-17 00:02:27,71,20,54.64,28.6,71
Depok,2025-11-17 00:02:50,87,28,60.27,27.52,87
Bogor,2025-11-17 00:00:00,2,11,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-17 00:00:00,2,10,,,10
Jakarta,2025-11-17 00:03:27,84,26,54.6,28.6,84
Depok,2025-11-17 00:04:50,85,30,60.23,27.52,85
Bogor,2025-11-17 00:00:00,2,11,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-17 00:00:00,2,10,,,10
Jakarta,2025-11-17 00:05:27,78,24,54.7,28.6,78
Depok,2025-11-17 00:05:50,83,28,60.23,27.53,83
Bogor,2025-11-17 00:00:00,2,11,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-17 00:00:00,2,10,,,10
Jakarta,2025-11-17 00:06:27,73,22,54.7,28.6,73
Depok,2025-11-17 00:06:50,87,28,60.23,27.53,87
Bogor,2025-11-17 00:00:00,2,11,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-17 00:00:00,2,10,,,10
Jakarta,2025-11-17 00:07:27,71,20,54.7,28.6,71
Depok,2025-11-17 00:07:50,83,30,60.35,27.53,83
Bogor,2025-11-17 00:00:00,2,11,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-17 00:00:00,2,10,,,10
Jakarta,2025-11-17 00:08:27,70,22,54.7,28.6,70
Depok,2025-11-17 00:08:50,80,27,60.43,27.5,80
Bogor,2025-11-17 00:00:00,2,11,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-17 00:00:00,2,10,,,10
Jakarta,2025-11-17 00:09:27,76,23,54.7,28.57,76
Depok,2025-11-17 00:09:50,81,27,60.38,27.52,81
Bogor,2025-11-17 00:00:00,2,11,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-17 00:00:00,2,10,,,10
Jakarta,2025-11-17 00:10:27,73,21,54.7,28.58,73
Depok,2025-11-17 00:10:50,81,29,60.3,27.5,81
Bogor,2025-11-17 00:00:00,2,11,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-17 00:00:00,2,10,,,10
Jakarta,2025-11-17 00:11:28,75,23,54.75,28.55,75
Depok,2025-11-17 00:11:50,80,28,60.23,27.5,80
Bogor,2025-11-17 00:00:00,2,11,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-17 00:00:00,2,10,,,10
Jakarta,2025-11-17 00:13:27,79,25,54.8,28.52,79
Depok,2025-11-17 00:13:50,80,25,60.28,27.5,80
Bogor,2025-11-17 00:00:00,2,11,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-17 00:00:00,2,10,,,10
Jakarta,2025-11-17 00:15:27,78,23,54.9,28.5,78
Depok,2025-11-17 00:15:50,84,28,60.32,27.5,84
Bogor,2025-11-17 00:00:00,2,11,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-17 00:00:00,2,10,,,10
Jakarta,2025-11-17 00:16:27,67,20,54.9,28.5,67
Depok,2025-11-17 00:16:50,82,26,60.42,27.5,82
Bogor,2025-11-17 00:00:00,2,11,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-17 00:00:00,2,10,,,10
Jakarta,2025-11-17 00:17:27,71,20,54.9,28.5,71
Depok,2025-11-17 00:17:50,87,32,60.48,27.5,87
Bogor,2025-11-17 00:00:00,2,11,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-17 00:00:00,2,10,,,10
Jakarta,2025-11-17 00:18:27,73,21,54.9,28.5,73
Depok,2025-11-17 00:18:50,89,30,60.38,27.47,89
Bogor,2025-11-17 00:00:00,2,11,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-17 00:00:00,2,10,,,10
Jakarta,2025-11-17 00:19:28,72,21,54.87,28.55,72
Depok,2025-11-17 00:19:50,87,30,60.38,27.48,87
Bogor,2025-11-17 00:00:00,2,11,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-17 00:00:00,2,10,,,10
Jakarta,2025-11-17 00:20:27,71,20,54.9,28.55,71
Depok,2025-11-17 00:20:50,99,40,60.53,27.43,99
Bogor,2025-11-17 00:00:00,2,11,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-17 00:00:00,2,10,,,10
Jakarta,2025-11-17 00:21:27,71,22,54.95,28.5,71
Depok,2025-11-17 00:22:50,99,38,60.53,27.47,99
Bogor,2025-11-17 00:00:00,2,11,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-17 00:00:00,2,10,,,10
Jakarta,2025-11-17 00:23:29,69,19,54.9,28.5,69
Depok,2025-11-17 00:23:50,99,41,60.52,27.4,99
Bogor,2025-11-17 00:00:00,2,11,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-17 00:00:00,2,10,,,10
Jakarta,2025-11-17 00:24:27,76,22,55,28.5,76
Depok,2025-11-17 00:24:50,100,40,60.52,27.43,100
Bogor,2025-11-17 00:00:00,2,11,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-17 00:00:00,2,10,,,10
Jakarta,2025-11-17 00:25:27,73,21,55,28.5,73
Depok,2025-11-17 00:25:50,102,40,60.5,27.42,102
Bogor,2025-11-17 00:00:00,2,11,,,55
Tangerang,2025-11-16 09:00:00,50,37,,,-
Bekasi,2025-11-17 00:00:00,2,10,,,10
Jakarta,2025-11-17 00:26:27,74,22,55,28.5,74
