city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-01 23:58:48,166,67,59.77,27.4,166
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-01 23:00:00,60,43,,,60
Bekasi,2025-12-01 23:00:00,51,30,,,51
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-02 00:00:48,165,67,59.88,27.3,165
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-01 23:00:00,60,43,,,60
Bekasi,2025-12-01 23:00:00,51,30,,,51
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-02 00:00:48,165,67,59.88,27.3,165
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-01 23:00:00,60,43,,,60
Bekasi,2025-12-01 23:00:00,51,30,,,51
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-02 00:02:48,166,70,59.93,27.3,166
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-01 23:00:00,60,43,,,60
Bekasi,2025-12-01 23:00:00,51,30,,,51
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-02 00:02:48,166,70,59.93,27.3,166
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-01 23:00:00,60,43,,,60
Bekasi,2025-12-01 23:00:00,51,30,,,51
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-02 00:05:48,168,71,60.03,27.3,168
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-01 23:00:00,60,43,,,60
Bekasi,2025-12-01 23:00:00,51,30,,,51
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-02 00:06:48,170,72,60,27.28,170
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-02 00:00:00,59,43,,,59
Bekasi,2025-12-02 00:00:00,51,30,,,51
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-12-02 00:07:48,172,76,60.15,27.25,172
Bogor,2025-11-30 17:00:00,15,19,,,-
Tangerang,2025-12-02 00:00:00,59,43,,,59
Bekasi,2025-12-02 00:00:00,51,30,,,51
