city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-24 22:17:34,225,120,57.75,28.28,225
Bogor,2025-12-24 23:00:00,5,17,,,17
Tangerang,2025-12-24 23:00:00,47,34,,,47
Bekasi,2025-12-24 23:00:00,38,20,,,38
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-24 22:17:34,225,120,57.75,28.28,225
Bogor,2025-12-24 23:00:00,5,17,,,17
Tangerang,2025-12-24 23:00:00,47,34,,,47
Bekasi,2025-12-24 23:00:00,38,20,,,38
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-24 22:17:34,225,120,57.75,28.28,225
Bogor,2025-12-24 23:00:00,5,17,,,17
Tangerang,2025-12-24 23:00:00,47,34,,,47
Bekasi,2025-12-24 23:00:00,38,20,,,38
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-24 22:17:34,225,120,57.75,28.28,225
Bogor,2025-12-24 23:00:00,5,17,,,17
Tangerang,2025-12-24 23:00:00,47,34,,,47
Bekasi,2025-12-24 23:00:00,38,20,,,38
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-24 22:17:34,225,120,57.75,28.28,225
Bogor,2025-12-25 00:00:00,6,19,,,19
Tangerang,2025-12-25 00:00:00,49,36,,,49
Bekasi,2025-12-25 00:00:00,37,21,,,37
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-24 22:17:34,225,120,57.75,28.28,225
Bogor,2025-12-25 00:00:00,6,19,,,19
Tangerang,2025-12-25 00:00:00,49,36,,,49
Bekasi,2025-12-25 00:00:00,37,21,,,37
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-24 22:17:34,225,120,57.75,28.28,225
Bogor,2025-12-25 00:00:00,6,19,,,19
Tangerang,2025-12-25 00:00:00,49,36,,,49
Bekasi,2025-12-25 00:00:00,37,21,,,37
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-24 22:17:34,225,120,57.75,28.28,225
Bogor,2025-12-25 00:00:00,6,19,,,19
Tangerang,2025-12-25 00:00:00,49,36,,,49
Bekasi,2025-12-25 00:00:00,37,21,,,37
