city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-12-07 23:58:41,108,41,53,29.4,108
Depok,2025-12-07 23:58:59,181,85,58.98,27.4,181
Bogor,2025-12-07 23:00:00,6,27,,,27
Tangerang,2025-12-07 23:00:00,71,54,,,71
Bekasi,2025-12-07 23:00:00,57,32,,,57
Jakarta,2025-12-08 00:00:41,111,43,53.08,29.35,111
Depok,2025-12-08 00:00:59,179,85,59.38,27.4,179
Bogor,2025-12-07 23:00:00,6,27,,,27
Tangerang,2025-12-07 23:00:00,71,54,,,71
Bekasi,2025-12-07 23:00:00,57,32,,,57
Jakarta,2025-12-08 00:00:41,111,43,53.08,29.35,111
Depok,2025-12-08 00:00:59,179,85,59.38,27.4,179
Bogor,2025-12-07 23:00:00,6,27,,,27
Tangerang,2025-12-07 23:00:00,71,54,,,71
Bekasi,2025-12-07 23:00:00,57,32,,,57
Jakarta,2025-12-08 00:01:41,109,42,53.1,29.4,109
Depok,2025-12-08 00:02:59,182,87,59.27,27.4,182
Bogor,2025-12-07 23:00:00,6,27,,,27
Tangerang,2025-12-07 23:00:00,71,54,,,71
Bekasi,2025-12-07 23:00:00,57,32,,,57
Jakarta,2025-12-08 00:04:42,109,42,53.08,29.4,109
Depok,2025-12-08 00:04:59,188,93,59.45,27.4,188
Bogor,2025-12-07 23:00:00,6,27,,,27
Tangerang,2025-12-07 23:00:00,71,54,,,71
Bekasi,2025-12-07 23:00:00,57,32,,,57
Jakarta,2025-12-08 00:04:42,109,42,53.08,29.4,109
Depok,2025-12-08 00:04:59,188,93,59.45,27.4,188
Bogor,2025-12-07 23:00:00,6,27,,,27
Tangerang,2025-12-07 23:00:00,71,54,,,71
Bekasi,2025-12-07 23:00:00,57,32,,,57
Jakarta,2025-12-08 00:06:41,108,42,52.9,29.4,108
Depok,2025-12-08 00:06:59,189,95,59.53,27.4,189
Bogor,2025-12-07 23:00:00,6,27,,,27
Tangerang,2025-12-07 23:00:00,71,54,,,71
Bekasi,2025-12-07 23:00:00,57,32,,,57
Jakarta,2025-12-08 00:07:41,106,40,52.95,29.4,106
Depok,2025-12-08 00:07:59,189,94,59.58,27.4,189
Bogor,2025-12-07 23:00:00,6,27,,,27
Tangerang,2025-12-07 23:00:00,71,54,,,71
Bekasi,2025-12-07 23:00:00,57,32,,,57
Jakarta,2025-12-08 00:08:41,109,42,52.9,29.4,109
Depok,2025-12-08 00:07:59,189,94,59.58,27.4,189
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:09:42,105,39,52.93,29.4,105
Depok,2025-12-08 00:10:00,188,92,59.87,27.4,188
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:10:41,105,40,52.88,29.48,105
Depok,2025-12-08 00:11:00,187,91,59.92,27.4,187
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:11:41,111,42,52.82,29.48,111
Depok,2025-12-08 00:12:00,186,91,59.85,27.4,186
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:14:41,113,43,52.8,29.48,113
Depok,2025-12-08 00:14:00,185,90,60.02,27.5,185
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:14:41,113,43,52.8,29.48,113
Depok,2025-12-08 00:14:00,185,90,60.02,27.5,185
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:16:41,113,43,52.8,29.5,113
Depok,2025-12-08 00:16:00,187,91,60.15,27.5,187
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:16:41,113,43,52.8,29.5,113
Depok,2025-12-08 00:16:00,187,91,60.15,27.5,187
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:18:41,106,40,52.8,29.5,106
Depok,2025-12-08 00:19:00,185,90,60.97,27.47,185
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:18:41,106,40,52.8,29.5,106
Depok,2025-12-08 00:19:00,185,90,60.97,27.47,185
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:21:41,108,42,52.9,29.5,108
Depok,2025-12-08 00:22:00,184,90,61.43,27.4,184
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:22:41,111,43,52.92,29.5,111
Depok,2025-12-08 00:23:00,182,87,61.67,27.4,182
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:23:41,109,42,52.9,29.5,109
Depok,2025-12-08 00:24:00,184,88,61.55,27.4,184
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:24:41,105,40,52.9,29.5,105
Depok,2025-12-08 00:25:00,184,88,61.75,27.4,184
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:25:42,100,36,52.85,29.5,100
Depok,2025-12-08 00:26:00,183,86,61.77,27.38,183
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:26:42,104,39,52.9,29.48,104
Depok,2025-12-08 00:27:00,184,88,61.73,27.35,184
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:27:42,104,40,52.97,29.47,104
Depok,2025-12-08 00:28:00,185,88,61.72,27.4,185
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:29:42,107,42,53.1,29.4,107
Depok,2025-12-08 00:30:00,186,91,61.78,27.4,186
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:31:42,106,40,53.2,29.4,106
Depok,2025-12-08 00:32:00,188,95,62.02,27.37,188
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:31:42,106,40,53.2,29.4,106
Depok,2025-12-08 00:32:00,188,95,62.02,27.37,188
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:33:42,108,41,53.38,29.4,108
Depok,2025-12-08 00:34:01,191,95,61.95,27.4,191
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:35:42,107,40,53.32,29.4,107
Depok,2025-12-08 00:36:00,189,93,62.15,27.4,189
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:35:42,107,40,53.32,29.4,107
Depok,2025-12-08 00:36:00,189,93,62.15,27.4,189
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:37:42,111,43,53.47,29.3,111
Depok,2025-12-08 00:38:02,194,99,62.15,27.4,194
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:38:42,114,45,53.43,29.3,114
Depok,2025-12-08 00:39:01,196,100,62.13,27.4,196
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:39:42,108,41,53.47,29.32,108
Depok,2025-12-08 00:40:02,197,102,62.18,27.4,197
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:40:42,115,44,53.43,29.3,115
Depok,2025-12-08 00:41:02,198,103,62.15,27.42,198
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:41:42,113,44,53.5,29.32,113
Depok,2025-12-08 00:42:01,200,107,62.03,27.5,200
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:43:42,110,42,53.5,29.3,110
Depok,2025-12-08 00:44:00,238,125,61.6,27.58,238
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:44:42,111,43,53.58,29.3,111
Depok,2025-12-08 00:45:00,230,121,61.63,27.6,230
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:45:42,107,40,53.6,29.3,107
Depok,2025-12-08 00:46:00,232,123,61.53,27.6,232
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:46:42,106,40,53.6,29.3,106
Depok,2025-12-08 00:47:00,240,126,61.37,27.6,240
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:47:42,108,41,53.63,29.3,108
Depok,2025-12-08 00:48:00,242,127,61.4,27.6,242
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:48:42,108,40,53.6,29.3,108
Depok,2025-12-08 00:49:00,244,128,61.48,27.6,244
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:50:42,100,37,53.6,29.3,100
Depok,2025-12-08 00:50:00,240,128,61.62,27.52,240
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:50:42,100,37,53.6,29.3,100
Depok,2025-12-08 00:53:00,241,127,61.68,27.5,241
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:52:42,109,42,53.68,29.3,109
Depok,2025-12-08 00:53:00,241,127,61.68,27.5,241
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:54:42,102,38,53.78,29.3,102
Depok,2025-12-08 00:55:01,240,127,61.98,27.4,240
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:55:42,99,38,53.72,29.3,99
Depok,2025-12-08 00:56:01,234,125,62.15,27.4,234
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:56:42,100,37,53.7,29.27,100
Depok,2025-12-08 00:57:01,240,130,62.35,27.4,240
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:57:42,107,40,53.8,29.22,107
Depok,2025-12-08 00:58:01,239,126,62.42,27.4,239
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 00:58:42,108,41,53.85,29.22,108
Depok,2025-12-08 00:59:01,247,131,62.57,27.33,247
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 01:00:42,111,42,53.88,29.2,111
Depok,2025-12-08 01:01:01,249,132,62.82,27.3,249
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 01:01:42,113,44,53.87,29.2,113
Depok,2025-12-08 01:02:01,252,133,62.95,27.3,252
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 01:02:42,110,42,53.9,29.2,110
Depok,2025-12-08 01:03:01,256,135,62.98,27.3,256
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 01:03:42,116,45,53.87,29.22,116
Depok,2025-12-08 01:04:01,256,136,63.13,27.3,256
Bogor,2025-12-08 00:00:00,6,25,,,25
Tangerang,2025-12-08 00:00:00,69,53,,,69
Bekasi,2025-12-08 00:00:00,54,32,,,54
Jakarta,2025-12-08 01:04:42,110,43,53.8,29.2,110
Depok,2025-12-08 01:05:01,255,135,63.18,27.23,255
Bogor,2025-12-08 01:00:00,6,24,,,24
Tangerang,2025-12-08 01:00:00,69,53,,,69
Bekasi,2025-12-08 01:00:00,56,33,,,56
Jakarta,2025-12-08 01:05:43,114,44,53.88,29.22,114
Depok,2025-12-08 01:06:02,257,136,63.22,27.23,257
Bogor,2025-12-08 01:00:00,6,24,,,24
Tangerang,2025-12-08 01:00:00,69,53,,,69
Bekasi,2025-12-08 01:00:00,56,33,,,56
Jakarta,2025-12-08 01:06:44,113,43,53.9,29.27,113
Depok,2025-12-08 01:07:01,254,134,63.33,27.2,254
Bogor,2025-12-08 01:00:00,6,24,,,24
Tangerang,2025-12-08 01:00:00,69,53,,,69
Bekasi,2025-12-08 01:00:00,56,33,,,56
Jakarta,2025-12-08 01:07:43,112,43,53.9,29.22,112
Depok,2025-12-08 01:10:01,256,134,63.63,27.18,256
Bogor,2025-12-08 01:00:00,6,24,,,24
Tangerang,2025-12-08 01:00:00,69,53,,,69
Bekasi,2025-12-08 01:00:00,56,33,,,56
Jakarta,2025-12-08 01:09:42,110,41,53.98,29.2,110
Depok,2025-12-08 01:10:01,256,134,63.63,27.18,256
Bogor,2025-12-08 01:00:00,6,24,,,24
Tangerang,2025-12-08 01:00:00,69,53,,,69
Bekasi,2025-12-08 01:00:00,56,33,,,56
Jakarta,2025-12-08 01:11:43,112,43,54.1,29.18,112
Depok,2025-12-08 01:12:01,252,133,63.85,27.1,252
Bogor,2025-12-08 01:00:00,6,24,,,24
Tangerang,2025-12-08 01:00:00,69,53,,,69
Bekasi,2025-12-08 01:00:00,56,33,,,56
Jakarta,2025-12-08 01:11:43,112,43,54.1,29.18,112
Depok,2025-12-08 01:12:01,252,133,63.85,27.1,252
Bogor,2025-12-08 01:00:00,6,24,,,24
Tangerang,2025-12-08 01:00:00,69,53,,,69
Bekasi,2025-12-08 01:00:00,56,33,,,56
Jakarta,2025-12-08 01:13:43,102,38,54.2,29.1,102
Depok,2025-12-08 01:14:01,251,133,63.9,27.1,251
Bogor,2025-12-08 01:00:00,6,24,,,24
Tangerang,2025-12-08 01:00:00,69,53,,,69
Bekasi,2025-12-08 01:00:00,56,33,,,56
Jakarta,2025-12-08 01:13:43,102,38,54.2,29.1,102
Depok,2025-12-08 01:14:01,251,133,63.9,27.1,251
Bogor,2025-12-08 01:00:00,6,24,,,24
Tangerang,2025-12-08 01:00:00,69,53,,,69
Bekasi,2025-12-08 01:00:00,56,33,,,56
Jakarta,2025-12-08 01:15:44,102,38,54.4,29.03,102
Depok,2025-12-08 01:16:01,255,131,64.12,27.1,255
Bogor,2025-12-08 01:00:00,6,24,,,24
Tangerang,2025-12-08 01:00:00,69,53,,,69
Bekasi,2025-12-08 01:00:00,56,33,,,56
Jakarta,2025-12-08 01:17:43,108,42,54.58,29,108
Depok,2025-12-08 01:18:01,256,135,64.18,27.05,256
Bogor,2025-12-08 01:00:00,6,24,,,24
Tangerang,2025-12-08 01:00:00,69,53,,,69
Bekasi,2025-12-08 01:00:00,56,33,,,56
Jakarta,2025-12-08 01:18:43,106,40,54.68,28.97,106
Depok,2025-12-08 01:19:01,261,137,64.3,27.03,261
Bogor,2025-12-08 01:00:00,6,24,,,24
Tangerang,2025-12-08 01:00:00,69,53,,,69
Bekasi,2025-12-08 01:00:00,56,33,,,56
Jakarta,2025-12-08 01:19:43,104,40,54.7,28.9,104
Depok,2025-12-08 01:20:01,257,136,64.42,27,257
Bogor,2025-12-08 01:00:00,6,24,,,24
Tangerang,2025-12-08 01:00:00,69,53,,,69
Bekasi,2025-12-08 01:00:00,56,33,,,56
Jakarta,2025-12-08 01:20:43,100,38,54.7,28.9,100
Depok,2025-12-08 01:21:01,240,128,64.37,27.02,240
Bogor,2025-12-08 01:00:00,6,24,,,24
Tangerang,2025-12-08 01:00:00,69,53,,,69
Bekasi,2025-12-08 01:00:00,56,33,,,56
Jakarta,2025-12-08 01:21:45,101,38,54.78,28.9,101
Depok,2025-12-08 01:22:01,232,122,64.33,27,232
Bogor,2025-12-08 01:00:00,6,24,,,24
Tangerang,2025-12-08 01:00:00,69,53,,,69
Bekasi,2025-12-08 01:00:00,56,33,,,56
Jakarta,2025-12-08 01:22:43,108,41,54.9,28.8,108
Depok,2025-12-08 01:23:01,224,116,64.37,27,224
Bogor,2025-12-08 01:00:00,6,24,,,24
Tangerang,2025-12-08 01:00:00,69,53,,,69
Bekasi,2025-12-08 01:00:00,56,33,,,56
Jakarta,2025-12-08 01:23:43,104,40,55.02,28.8,104
Depok,2025-12-08 01:24:01,217,113,64.33,27,217
Bogor,2025-12-08 01:00:00,6,24,,,24
Tangerang,2025-12-08 01:00:00,69,53,,,69
Bekasi,2025-12-08 01:00:00,56,33,,,56
Jakarta,2025-12-08 01:24:43,100,37,55.08,28.8,100
Depok,2025-12-08 01:26:01,210,110,64.5,27,210
Bogor,2025-12-08 01:00:00,6,24,,,24
Tangerang,2025-12-08 01:00:00,69,53,,,69
