city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 23:58:06,127,51,54.57,29,127
Bogor,2025-11-29 23:00:00,13,15,,,55
Tangerang,2025-11-29 23:00:00,62,49,,,62
Bekasi,2025-11-29 23:00:00,91,46,,,91
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-29 23:59:06,128,51,54.47,28.97,128
Bogor,2025-11-29 23:00:00,13,15,,,55
Tangerang,2025-11-29 23:00:00,62,49,,,62
Bekasi,2025-11-29 23:00:00,91,46,,,91
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-30 00:00:06,130,52,54.3,28.98,130
Bogor,2025-11-29 23:00:00,13,15,,,55
Tangerang,2025-11-29 23:00:00,62,49,,,62
Bekasi,2025-11-29 23:00:00,91,46,,,91
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-30 00:02:06,134,53,54.48,28.97,134
Bogor,2025-11-29 23:00:00,13,15,,,55
Tangerang,2025-11-29 23:00:00,62,49,,,62
Bekasi,2025-11-29 23:00:00,91,46,,,91
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-30 00:04:06,134,53,54.47,29,134
Bogor,2025-11-29 23:00:00,13,15,,,55
Tangerang,2025-11-29 23:00:00,62,49,,,62
Bekasi,2025-11-29 23:00:00,91,46,,,91
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-30 00:04:06,134,53,54.47,29,134
Bogor,2025-11-29 23:00:00,13,15,,,55
Tangerang,2025-11-29 23:00:00,62,49,,,62
Bekasi,2025-11-29 23:00:00,91,46,,,91
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-30 00:06:06,129,52,54.27,29,129
Bogor,2025-11-30 00:00:00,13,15,,,55
Tangerang,2025-11-30 00:00:00,63,50,,,63
Bekasi,2025-11-30 00:00:00,82,44,,,82
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-30 00:06:06,129,52,54.27,29,129
Bogor,2025-11-30 00:00:00,13,15,,,55
Tangerang,2025-11-30 00:00:00,63,50,,,63
Bekasi,2025-11-30 00:00:00,82,44,,,82
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-30 00:08:07,125,51,54.33,29,125
Bogor,2025-11-30 00:00:00,13,15,,,55
Tangerang,2025-11-30 00:00:00,63,50,,,63
Bekasi,2025-11-30 00:00:00,82,44,,,82
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-30 00:09:07,132,53,54.48,28.97,132
Bogor,2025-11-30 00:00:00,13,15,,,55
Tangerang,2025-11-30 00:00:00,63,50,,,63
Bekasi,2025-11-30 00:00:00,82,44,,,82
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-30 00:10:07,135,53,54.37,28.92,135
Bogor,2025-11-30 00:00:00,13,15,,,55
Tangerang,2025-11-30 00:00:00,63,50,,,63
Bekasi,2025-11-30 00:00:00,82,44,,,82
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-30 00:11:07,127,51,54.25,28.93,127
Bogor,2025-11-30 00:00:00,13,15,,,55
Tangerang,2025-11-30 00:00:00,63,50,,,63
Bekasi,2025-11-30 00:00:00,82,44,,,82
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-30 00:13:07,127,51,54.2,29,127
Bogor,2025-11-30 00:00:00,13,15,,,55
Tangerang,2025-11-30 00:00:00,63,50,,,63
Bekasi,2025-11-30 00:00:00,82,44,,,82
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-30 00:14:07,123,50,54.03,28.98,123
Bogor,2025-11-30 00:00:00,13,15,,,55
Tangerang,2025-11-30 00:00:00,63,50,,,63
Bekasi,2025-11-30 00:00:00,82,44,,,82
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-30 00:15:15,124,50,53.93,29,124
Bogor,2025-11-30 00:00:00,13,15,,,55
Tangerang,2025-11-30 00:00:00,63,50,,,63
Bekasi,2025-11-30 00:00:00,82,44,,,82
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-30 00:16:07,127,53,54.1,29,127
Bogor,2025-11-30 00:00:00,13,15,,,55
Tangerang,2025-11-30 00:00:00,63,50,,,63
Bekasi,2025-11-30 00:00:00,82,44,,,82
Jakarta,2025-11-22 19:39:18,151,57,60.82,28.5,-
Depok,2025-11-30 00:17:07,131,53,54.13,28.97,131
Bogor,2025-11-30 00:00:00,13,15,,,55
Tangerang,2025-11-30 00:00:00,63,50,,,63
Bekasi,2025-11-30 00:00:00,82,44,,,82
