city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-25 23:58:06,89,31,66.26,26.7,89
Bogor,2025-12-25 23:00:00,10,24,,,24
Tangerang,2025-12-25 23:00:00,81,60,,,81
Bekasi,2025-12-25 23:00:00,89,39,,,89
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-25 23:59:06,94,36,66.26,26.7,94
Bogor,2025-12-25 23:00:00,10,24,,,24
Tangerang,2025-12-25 23:00:00,81,60,,,81
Bekasi,2025-12-25 23:00:00,89,39,,,89
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 00:01:27,93,36,66.12,26.7,93
Bogor,2025-12-25 23:00:00,10,24,,,24
Tangerang,2025-12-25 23:00:00,81,60,,,81
Bekasi,2025-12-25 23:00:00,89,39,,,89
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 00:02:27,93,33,66.15,26.7,93
Bogor,2025-12-25 23:00:00,10,24,,,24
Tangerang,2025-12-25 23:00:00,81,60,,,81
Bekasi,2025-12-25 23:00:00,89,39,,,89
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 00:03:27,96,35,66.17,26.7,96
Bogor,2025-12-25 23:00:00,10,24,,,24
Tangerang,2025-12-25 23:00:00,81,60,,,81
Bekasi,2025-12-25 23:00:00,89,39,,,89
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 00:03:27,96,35,66.17,26.7,96
Bogor,2025-12-25 23:00:00,10,24,,,24
Tangerang,2025-12-25 23:00:00,81,60,,,81
Bekasi,2025-12-25 23:00:00,89,39,,,89
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 00:06:01,94,37,66.03,26.7,94
Bogor,2025-12-25 23:00:00,10,24,,,24
Tangerang,2025-12-25 23:00:00,81,60,,,81
Bekasi,2025-12-25 23:00:00,89,39,,,89
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 00:06:01,94,37,66.03,26.7,94
Bogor,2025-12-25 23:00:00,10,24,,,24
Tangerang,2025-12-25 23:00:00,81,60,,,81
Bekasi,2025-12-25 23:00:00,89,39,,,89
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 00:08:01,99,37,66,26.7,99
Bogor,2025-12-25 23:00:00,10,24,,,24
Tangerang,2025-12-26 00:00:00,80,59,,,80
Bekasi,2025-12-26 00:00:00,91,39,,,91
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 00:10:01,102,40,66.08,26.7,102
Bogor,2025-12-26 00:00:00,9,21,,,21
Tangerang,2025-12-26 00:00:00,80,59,,,80
Bekasi,2025-12-26 00:00:00,91,39,,,91
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 00:11:23,100,39,66.25,26.7,100
Bogor,2025-12-26 00:00:00,9,21,,,21
Tangerang,2025-12-26 00:00:00,80,59,,,80
Bekasi,2025-12-26 00:00:00,91,39,,,91
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 00:11:23,100,39,66.25,26.7,100
Bogor,2025-12-26 00:00:00,9,21,,,21
Tangerang,2025-12-26 00:00:00,80,59,,,80
Bekasi,2025-12-26 00:00:00,91,39,,,91
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 00:11:23,100,39,66.23,26.7,100
Bogor,2025-12-26 00:00:00,9,21,,,21
Tangerang,2025-12-26 00:00:00,80,59,,,80
Bekasi,2025-12-26 00:00:00,91,39,,,91
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 00:14:08,105,41,66.26,26.68,105
Bogor,2025-12-26 00:00:00,9,21,,,21
Tangerang,2025-12-26 00:00:00,80,59,,,80
Bekasi,2025-12-26 00:00:00,91,39,,,91
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 00:15:08,102,40,66.22,26.67,102
Bogor,2025-12-26 00:00:00,9,21,,,21
Tangerang,2025-12-26 00:00:00,80,59,,,80
Bekasi,2025-12-26 00:00:00,91,39,,,91
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 00:16:08,103,40,66.32,26.65,103
Bogor,2025-12-26 00:00:00,9,21,,,21
Tangerang,2025-12-26 00:00:00,80,59,,,80
Bekasi,2025-12-26 00:00:00,91,39,,,91
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 00:17:08,103,41,66.26,26.6,103
Bogor,2025-12-26 00:00:00,9,21,,,21
Tangerang,2025-12-26 00:00:00,80,59,,,80
Bekasi,2025-12-26 00:00:00,91,39,,,91
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 00:17:08,103,41,66.26,26.6,103
Bogor,2025-12-26 00:00:00,9,21,,,21
Tangerang,2025-12-26 00:00:00,80,59,,,80
Bekasi,2025-12-26 00:00:00,91,39,,,91
