city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-11-01 23:57:56,113,44,52.6,28.88,113
Depok,2025-11-01 23:57:25,130,52,60.83,26.9,130
Bogor,2025-11-01 23:00:00,4,13,,,55
Tangerang,2025-11-01 11:00:00,61,46,,,-
Bekasi,2025-11-01 23:00:00,51,27,,,51
Jakarta,2025-11-01 23:57:56,113,44,52.6,28.88,113
Depok,2025-11-01 23:59:30,134,53,60.9,26.9,134
Bogor,2025-11-01 23:00:00,4,13,,,55
Tangerang,2025-11-01 11:00:00,61,46,,,-
Bekasi,2025-11-01 23:00:00,51,27,,,51
Jakarta,2025-11-01 23:57:56,113,44,52.6,28.88,113
Depok,2025-11-02 00:00:33,134,54,60.77,26.9,134
Bogor,2025-11-01 23:00:00,4,13,,,55
Tangerang,2025-11-01 11:00:00,61,46,,,-
Bekasi,2025-11-01 23:00:00,51,27,,,51
Jakarta,2025-11-02 00:02:01,114,44,52.43,28.88,114
Depok,2025-11-02 00:01:35,135,53,60.83,26.9,135
Bogor,2025-11-01 23:00:00,4,13,,,55
Tangerang,2025-11-01 11:00:00,61,46,,,-
Bekasi,2025-11-01 23:00:00,51,27,,,51
Jakarta,2025-11-02 00:02:01,114,44,52.43,28.88,114
Depok,2025-11-02 00:02:40,137,55,60.8,26.9,137
Bogor,2025-11-02 00:00:00,4,13,,,55
Tangerang,2025-11-01 11:00:00,61,46,,,-
Bekasi,2025-11-02 00:00:00,47,27,,,47
Jakarta,2025-11-02 00:04:04,108,41,52.41,28.87,108
Depok,2025-11-02 00:03:45,138,55,60.85,26.9,138
Bogor,2025-11-02 00:00:00,4,13,,,55
Tangerang,2025-11-01 11:00:00,61,46,,,-
Bekasi,2025-11-02 00:00:00,47,27,,,47
Jakarta,2025-11-02 00:06:09,110,42,52.43,28.9,110
Depok,2025-11-02 00:05:52,138,54,60.58,26.9,138
Bogor,2025-11-02 00:00:00,4,13,,,55
Tangerang,2025-11-01 11:00:00,61,46,,,-
Bekasi,2025-11-02 00:00:00,47,27,,,47
Jakarta,2025-11-02 00:06:09,110,42,52.43,28.9,110
Depok,2025-11-02 00:06:54,134,54,60.6,26.88,134
Bogor,2025-11-02 00:00:00,4,13,,,55
