city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-15 23:58:25,19,6,52.92,28,19
Bogor,2025-12-15 23:00:00,3,6,,,6
Tangerang,2025-12-15 23:00:00,28,24,,,28
Bekasi,2025-12-15 23:00:00,1,6,,,6
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-15 23:59:25,24,6,52.88,28,24
Bogor,2025-12-15 23:00:00,3,6,,,6
Tangerang,2025-12-15 23:00:00,28,24,,,28
Bekasi,2025-12-15 23:00:00,1,6,,,6
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-16 00:01:25,23,6,52.93,28,23
Bogor,2025-12-15 23:00:00,3,6,,,6
Tangerang,2025-12-15 23:00:00,28,24,,,28
Bekasi,2025-12-15 23:00:00,1,6,,,6
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-16 00:02:25,19,5,52.97,27.98,19
Bogor,2025-12-15 23:00:00,3,6,,,6
Tangerang,2025-12-15 23:00:00,28,24,,,28
Bekasi,2025-12-15 23:00:00,1,6,,,6
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-16 00:03:25,31,9,52.98,28,31
Bogor,2025-12-15 23:00:00,3,6,,,6
Tangerang,2025-12-15 23:00:00,28,24,,,28
Bekasi,2025-12-15 23:00:00,1,6,,,6
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-16 00:04:25,51,15,52.9,28,51
Bogor,2025-12-16 00:00:00,3,6,,,6
Tangerang,2025-12-16 00:00:00,30,25,,,30
Bekasi,2025-12-16 00:00:00,1,6,,,7
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-16 00:05:25,44,15,53.02,28,44
Bogor,2025-12-16 00:00:00,3,6,,,6
Tangerang,2025-12-16 00:00:00,30,25,,,30
Bekasi,2025-12-16 00:00:00,1,6,,,7
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-16 00:06:25,42,11,52.9,28,42
Bogor,2025-12-16 00:00:00,3,6,,,6
Tangerang,2025-12-16 00:00:00,30,25,,,30
Bekasi,2025-12-16 00:00:00,1,6,,,7
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-16 00:08:25,23,6,52.9,28.03,23
Bogor,2025-12-16 00:00:00,3,6,,,6
Tangerang,2025-12-16 00:00:00,30,25,,,30
Bekasi,2025-12-16 00:00:00,1,6,,,7
Jakarta,2025-12-09 13:23:41,90,29,37.93,34,-
Depok,2025-12-16 00:10:25,14,5,53,28,14
Bogor,2025-12-16 00:00:00,3,6,,,6
Tangerang,2025-12-16 00:00:00,30,25,,,30
