city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-11-12 23:56:46,42,9,53,27.72,42
Depok,2025-11-12 23:58:20,100,41,54.33,27.97,100
Bogor,2025-11-12 23:00:00,1,13,,,55
Tangerang,2025-11-12 23:00:00,34,26,,,34
Bekasi,2025-11-12 23:00:00,4,12,,,12
Jakarta,2025-11-12 23:58:46,35,8,53.02,27.72,35
Depok,2025-11-13 00:00:20,106,43,54.13,27.98,106
Bogor,2025-11-12 23:00:00,1,13,,,55
Tangerang,2025-11-12 23:00:00,34,26,,,34
Bekasi,2025-11-12 23:00:00,4,12,,,12
Jakarta,2025-11-13 00:01:47,38,8,52.85,27.8,38
Depok,2025-11-13 00:02:20,91,32,54.1,27.98,91
Bogor,2025-11-12 23:00:00,1,13,,,55
Tangerang,2025-11-12 23:00:00,34,26,,,34
Bekasi,2025-11-12 23:00:00,4,12,,,12
Jakarta,2025-11-13 00:01:47,38,8,52.85,27.8,38
Depok,2025-11-13 00:02:20,91,32,54.1,27.98,91
Bogor,2025-11-12 23:00:00,1,13,,,55
Tangerang,2025-11-12 23:00:00,34,26,,,34
Bekasi,2025-11-12 23:00:00,4,12,,,12
Jakarta,2025-11-13 00:03:46,40,9,52.9,27.77,40
Depok,2025-11-13 00:04:20,88,28,54.27,27.9,88
Bogor,2025-11-13 00:00:00,1,12,,,55
Tangerang,2025-11-13 00:00:00,33,25,,,33
Bekasi,2025-11-13 00:00:00,3,13,,,13
Jakarta,2025-11-13 00:03:46,40,9,52.9,27.77,40
Depok,2025-11-13 00:04:20,88,28,54.27,27.9,88
Bogor,2025-11-13 00:00:00,1,12,,,55
Tangerang,2025-11-13 00:00:00,33,25,,,33
Bekasi,2025-11-13 00:00:00,3,13,,,13
Jakarta,2025-11-13 00:04:47,17,4,52.85,27.7,17
Depok,2025-11-13 00:05:20,85,27,54.17,27.9,85
Bogor,2025-11-13 00:00:00,1,12,,,55
Tangerang,2025-11-13 00:00:00,33,25,,,33
Bekasi,2025-11-13 00:00:00,3,13,,,13
Jakarta,2025-11-13 00:06:47,18,5,52.87,27.72,18
Depok,2025-11-13 00:07:20,81,25,54.17,27.92,81
Bogor,2025-11-13 00:00:00,1,12,,,55
Tangerang,2025-11-13 00:00:00,33,25,,,33
Bekasi,2025-11-13 00:00:00,3,13,,,13
Jakarta,2025-11-13 00:06:47,18,5,52.87,27.72,18
Depok,2025-11-13 00:07:20,81,25,54.17,27.92,81
Bogor,2025-11-13 00:00:00,1,12,,,55
Tangerang,2025-11-13 00:00:00,33,25,,,33
Bekasi,2025-11-13 00:00:00,3,13,,,13
Jakarta,2025-11-13 00:08:47,24,5,52.94,27.7,24
Depok,2025-11-13 00:09:20,78,25,54.23,27.9,78
Bogor,2025-11-13 00:00:00,1,12,,,55
Tangerang,2025-11-13 00:00:00,33,25,,,33
Bekasi,2025-11-13 00:00:00,3,13,,,13
Jakarta,2025-11-13 00:10:47,26,6,52.9,27.7,26
Depok,2025-11-13 00:11:20,83,27,54.48,27.8,83
