city,time,pm25,pm10,humidity,temp,aqi
Jakarta,2025-12-19 23:58:16,51,12,64.1,26.3,51
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-19 23:00:00,2,9,,,9
Tangerang,2025-12-19 23:00:00,35,26,,,35
Bekasi,2025-12-19 23:00:00,3,11,,,13
Jakarta,2025-12-19 23:59:16,42,9,64.1,26.3,42
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-19 23:00:00,2,9,,,9
Tangerang,2025-12-19 23:00:00,35,26,,,35
Bekasi,2025-12-19 23:00:00,3,11,,,13
Jakarta,2025-12-20 00:01:16,51,12,64.11,26.3,51
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-19 23:00:00,2,9,,,9
Tangerang,2025-12-19 23:00:00,35,26,,,35
Bekasi,2025-12-19 23:00:00,3,11,,,13
Jakarta,2025-12-20 00:01:16,51,12,64.11,26.3,51
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-19 23:00:00,2,9,,,9
Tangerang,2025-12-19 23:00:00,35,26,,,35
Bekasi,2025-12-19 23:00:00,3,11,,,13
Jakarta,2025-12-20 00:03:16,56,13,64.1,26.3,56
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-19 23:00:00,2,9,,,9
Tangerang,2025-12-19 23:00:00,35,26,,,35
Bekasi,2025-12-19 23:00:00,3,11,,,13
Jakarta,2025-12-20 00:05:16,54,12,64.03,26.3,54
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-19 23:00:00,2,9,,,9
Tangerang,2025-12-19 23:00:00,35,26,,,35
Bekasi,2025-12-19 23:00:00,3,11,,,13
Jakarta,2025-12-20 00:05:16,54,12,64.03,26.3,54
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:07:16,49,12,63.96,26.3,49
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:07:16,49,12,63.96,26.3,49
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:09:16,49,11,63.98,26.3,49
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:10:16,47,12,63.98,26.3,47
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:11:16,51,12,64.03,26.3,51
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:12:16,49,12,64.1,26.3,49
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:13:16,44,10,64.03,26.3,44
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:14:22,40,9,64.1,26.3,40
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:15:32,54,13,64.16,26.3,54
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:15:32,54,13,64.16,26.3,54
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:17:55,46,10,64.3,26.3,46
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:18:34,55,15,64.36,26.25,55
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:20:37,54,13,64.41,26.2,54
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:21:34,53,12,64.5,26.2,53
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:23:34,55,13,64.5,26.2,55
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:25:04,52,12,64.5,26.2,52
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:25:34,57,15,64.53,26.2,57
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:26:34,57,14,64.51,26.2,57
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:27:34,55,14,64.58,26.2,55
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:28:50,58,14,64.6,26.2,58
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:30:37,55,15,64.66,26.2,55
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:31:50,57,14,64.69,26.2,57
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
Bekasi,2025-12-20 00:00:00,3,11,,,13
Jakarta,2025-12-20 00:32:34,53,12,64.68,26.2,53
Depok,2025-12-19 16:25:35,27,10,69.73,24.95,-
Bogor,2025-12-20 00:00:00,2,9,,,9
Tangerang,2025-12-20 00:00:00,35,27,,,35
